before_file,before_group,before_start,before_end,before_th_mean,before_th_std,before_speed,before_voltage,before_sp_max,before_acc_max,before_current,before_rpm_mean,before_rpm_min,before_motor_top_pct,before_motor_bottom_pct,before_shake_err_roll,before_shake_err_pitch,before_shake_err_yaw,before_shake_gyro_roll,before_shake_gyro_pitch,before_shake_gyro_yaw,before_shake_sp_roll,before_shake_sp_pitch,before_shake_sp_yaw,before_high_gyro_roll,before_high_gyro_pitch,before_high_gyro_yaw,before_high_raw_roll,before_high_raw_pitch,before_high_raw_yaw,before_high_D_roll,before_high_D_pitch,before_D_roll,before_D_pitch,before_shake_combined,before_shake_peak,before_shake_peak_t,before_shake_time_gt8,before_raw_hf,before_gyro_hf,before_D_hf,before_motor1_rpm,before_motor2_rpm,before_motor3_rpm,before_motor4_rpm,today_file,today_group,today_start,today_end,today_th_mean,today_th_std,today_speed,today_voltage,today_sp_max,today_acc_max,today_current,today_rpm_mean,today_rpm_min,today_motor_top_pct,today_motor_bottom_pct,today_shake_err_roll,today_shake_err_pitch,today_shake_err_yaw,today_shake_gyro_roll,today_shake_gyro_pitch,today_shake_gyro_yaw,today_shake_sp_roll,today_shake_sp_pitch,today_shake_sp_yaw,today_high_gyro_roll,today_high_gyro_pitch,today_high_gyro_yaw,today_high_raw_roll,today_high_raw_pitch,today_high_raw_yaw,today_high_D_roll,today_high_D_pitch,today_D_roll,today_D_pitch,today_shake_combined,today_shake_peak,today_shake_peak_t,today_shake_time_gt8,today_raw_hf,today_gyro_hf,today_D_hf,today_motor1_rpm,today_motor2_rpm,today_motor3_rpm,today_motor4_rpm
LOG00008,Idle 35,5.0,5.5,21.935305719921107,1.7579001883542207,38.76846921967808,24.85090729783038,103.0,0.9233648900952538,3.150236686390533,10556.896308819385,7171.428571428572,0.0,0.0,1.78599984856442,1.2479689717048865,0.8737942582698854,3.038530539232275,1.1328211142605769,2.0319072120481736,2.3709595093036415,0.9432420059454124,2.1314495130068405,0.41751700137201514,0.4693457293921587,0.35547116888165453,9.578456835490632,6.794658375815757,6.862057619495026,1.7280475102952695,2.583386444482376,6.636965395773454,3.6732950666864213,1.5406527859012045,2.5500761926761872,5.000099,0.0,7.85285622277377,0.41671957478998045,2.197729933291733,11378.275570583264,10999.098337559877,8280.614257537336,11569.59706959707,LOG00002,Idle 35,34.5,35.0,22.590335305719922,0.8983028519395984,34.00438255205518,24.513116370808678,54.0,1.3234936014329868,3.2169822485207105,10701.648351648351,6400.0,0.0,0.0,1.2592303004134282,0.6510421326577248,0.7826537726489953,1.2048737857974072,0.5625344919510493,1.0360775397405546,0.6019694998254771,0.3429430423991063,0.97306689567748,0.2727503129245477,0.3550650065294567,0.2527819222487681,5.5107188781434,5.878845793255289,3.726601124485628,0.921316271640042,1.5952597780871962,3.014756606502373,2.6150075142918348,1.0023763784065374,2.002627839054545,34.898994,0.0,5.12563512668817,0.29685158596959077,1.30262761984604,12621.189067342913,11320.28740490279,6831.220061989293,12033.896872358411
LOG00008,Idle 35,5.5,6.0,21.601380670611444,1.4208846825570993,39.497919620334216,24.861656804733727,52.0,0.995330398374686,3.283609467455622,10395.49168779938,7000.0,0.0,0.0,1.2985453646246026,1.399654207181632,0.9842026982194928,1.831750556445429,1.5632644343218747,1.6918724060440944,1.248244324538635,1.037083944779352,1.774764367730313,0.23816710477089295,0.4879992038934449,0.25824506795904506,5.1702383323334935,10.452567812580899,4.606737697621835,0.7154459983125275,2.564735380723747,6.062137156428668,4.323232043936564,1.350046659132433,1.92439576379639,5.500477,0.0,7.239004777463612,0.34715861308665874,1.8827812604810992,11283.34742180896,11150.577627500703,8086.3060016906165,11061.73570019724,LOG00002,Idle 35,38.5,39.0,22.6,0.0,39.74374237575838,24.50424063116371,35.0,1.1071149343494093,3.3968639053254437,10616.582135812907,6885.714285714285,0.0,0.0,0.664190178495672,0.6609966059681726,0.5174221090025333,0.5683987432461672,0.6144903421128266,0.47921227523712523,0.27842116063333977,0.38423591955693737,0.4336892448463963,0.2928163812600248,0.35967205672414726,0.25072970895290775,4.248102962256277,8.393768860589525,3.8859864959420105,0.7812459587571245,1.4741440161719177,1.985648707338394,2.538073008339348,0.6625953162796867,0.9220789245349899,38.951021,0.0,5.876581361913761,0.3043960186303385,1.1797130643698512,12784.192730346576,10133.107917723302,7234.065934065933,12314.961961115809
LOG00008,Idle 35,6.0,6.5,31.75118577075099,6.701209891427628,42.53760259847584,24.748181818181813,75.0,2.1163825162258765,6.465671936758893,13893.435911914172,8700.0,0.0,0.0,1.9446265610359912,1.3829387722106272,0.9777416051345533,3.1979093948677035,1.9671744919806553,1.3200487488584864,2.881471430421673,1.658545348824549,1.1051956278497752,0.43388090657952433,0.7727700853958401,0.318214359435583,6.303516587687572,7.098034917952479,6.366578579041446,2.023458612794919,4.669424309236697,6.53177094060664,6.719977884398015,1.6873191917313832,2.6570965584952186,6.226842,0.0,6.599235912104634,0.5436563327838531,3.598465515840366,14311.405985319028,14573.235460191983,11912.281197063805,14776.821005081872,LOG00002,Idle 35,54.5,55.0,28.48478260869565,4.997492024382699,48.392214418466395,24.119584980237157,38.0,1.8190193658461595,4.689189723320157,12450.529361942405,9142.857142857143,0.0,0.0,1.9724804991360272,0.9857484007170048,0.8045787320292999,2.4132383681843397,0.929519191188492,0.9399656207255357,1.4174115045852587,0.37148865166929557,0.7073805342274232,0.42806156327328154,0.39728899779168214,0.238752152961416,4.89425603907216,6.603540366883609,3.297426425252974,1.8363951579119138,2.078582236041286,5.6589500276128755,3.0157688339922624,1.5592272491506882,2.926131675554852,54.998048,0.0,5.113169551364798,0.36426997326250404,1.9612306452822823,10701.722190852624,13252.682100508187,12592.20779220779,13255.505364201017
LOG00008,Idle 35,7.5,8.0,33.37845849802372,0.37615486894593875,48.120292387978836,24.456185770750988,105.0,2.208401900852396,6.835592885375494,14558.872106154715,8857.142857142857,0.0,0.0,1.5668246259086953,1.8854107683187682,0.8650525728448736,2.2562702201654843,2.5967413907973222,1.1646009661162455,1.9476641384707387,2.199679129208591,0.9754839416237719,0.34855605665886147,0.6434541795291395,0.358716974079017,2.930903440186241,5.935279608313045,9.673057752610527,1.585061007528381,3.892914297534249,5.830782427377566,7.671233674380968,1.7334522164810742,2.702551023244987,7.655842,0.0,6.767219647927572,0.4705324902984913,2.972137288680778,9657.086391869001,16329.418407679277,16941.869000564653,15307.114624505928,LOG00002,Idle 35,63.0,63.5,33.60295857988166,0.6364434620102998,42.595796312920406,23.777416173570014,125.0,1.844832603593446,5.663629191321499,14604.8112144266,12242.857142857143,0.0,0.0,2.6669212369766444,0.9139682425509293,0.9538992730157517,2.872310899913569,0.846332518136303,0.9642156925721127,1.0991893542808149,0.39585269437827664,1.0735438583978287,0.2893864875316296,0.38329395633691543,0.2565580992149525,2.5972199170530352,4.164919900034949,5.238422432389139,1.2220755621281894,1.8472442798569622,8.050016232357725,3.7276619362340417,1.9934651781042814,4.565802967862481,63.383913,0.0,4.144602057753428,0.31436754200727557,1.5661705062053746,13926.429980276134,15263.905325443788,13544.829529444913,15684.080022541564
LOG00008,Idle 35,8.0,8.5,32.02564102564103,0.8951178854923727,31.968467077370253,24.665049309664695,65.0,1.9410451633833627,5.867357001972385,14181.311637080868,9857.142857142857,0.0,0.0,1.2321423869658399,1.427878964730919,0.8060249848696601,1.5555901920967588,1.6430436755608018,1.001901803523121,1.134628393048386,1.1612009980512297,0.9640958261138072,0.4268056315171291,0.5870365290648254,0.30021044193881335,2.706322194602495,6.8811608486967915,8.255125811895924,2.0896852068024434,3.4796169497429164,4.481828311064797,6.198555535750489,1.333606613600675,1.888898629733303,8.000244,0.0,6.39848046067361,0.4534685740674543,2.8700625760135594,10772.724711186249,15217.131586362355,15555.42406311637,15179.966187658496,LOG00002,Idle 35,12.5,13.0,29.716962524654832,2.022952186019005,31.747811568034287,24.640433925049308,26.0,1.596007300606381,5.11749506903353,13493.399549168778,10985.714285714286,0.0,0.0,0.8372389365345665,0.9214773760914099,0.8388733356090465,0.8923683019873194,0.8232073981705818,0.9153401166316727,0.38273157191009277,0.43991825581653293,0.581557310287091,0.3139903730662111,0.3454835523082189,0.2664775357330145,5.655836127759178,5.276092000174603,4.637827343928936,1.1295105620765358,1.5431935157388434,2.5244367817572213,3.394217149678494,0.8803662849910376,1.2230347839883686,12.618453,0.0,5.206888756588631,0.31035416131902405,1.3522648292514419,12498.450267681037,13925.274725274725,13224.175824175823,14325.697379543531
LOG00008,Idle 35,8.5,9.0,33.38362919132149,0.1633845809066578,26.456517378076047,24.57940828402367,76.0,1.9378574410788272,6.177337278106509,14643.512256973796,11585.714285714286,0.0,0.0,0.9821031335960072,1.243623945454646,0.8873821122096353,0.9752313319194109,1.807958062794042,1.069241064579365,1.0038224863910044,1.3238419498956537,0.8204834532551751,0.4898925053853987,0.7006091376462511,0.319880675656906,9.077777168782454,6.057977403022162,8.957415162529996,2.7485731324032914,4.545097498025518,4.567918312758183,7.507524167936451,1.1205193177110506,1.706144205527121,8.576576,0.0,8.15149096659659,0.526995090819932,3.7558331652728554,12122.344322344321,15477.937447168217,15554.83234714004,15418.934911242604,LOG00002,Idle 35,10.5,11.0,28.878458498023715,0.9993230887102353,22.3528253440773,24.809011857707507,33.0,1.5403150699382757,4.561778656126482,13210.580180688876,11371.42857142857,0.0,0.0,0.7497507536110499,0.8991301049552614,0.6293630145062872,0.7937242484128669,0.9403868241224791,0.8108587781689524,0.394517937710252,0.5597867197001308,0.5773223572887455,0.2743711279428352,0.32137416226122634,0.23417175770408155,5.956100934237852,5.700348625076431,5.004363386262327,0.9126396175785052,1.482173367958216,2.4112712931173585,2.9384328053877047,0.8278167484948579,1.1482752085154129,10.848106,0.0,5.568146480592462,0.27892488841021207,1.230802373303375,11892.094861660078,13767.758328627895,13086.702428006776,14095.765104460754
LOG00008,Idle 35,9.0,9.5,30.949011857707507,1.9082639638138692,28.56974719516052,24.654051383399207,38.0,1.8291240472832158,5.452292490118577,13904.001976284584,10471.42857142857,0.0,0.0,1.318681178038149,1.2255332629340383,0.8206597703455605,1.2042554169275759,1.3629347165727212,0.963120033368652,0.8149475835863533,0.9628659359412439,0.6889972966284831,0.413033749801332,0.45022427401541576,0.3071318165768833,9.360224110792952,8.323454349440237,6.6033564276690075,1.992181645162563,2.320211553749557,3.9607760648101684,4.720445815349667,1.2729595099353774,1.9277783546051432,9.230787,0.0,8.175124949551183,0.3948116547340321,2.162425647447277,11856.973461321286,14690.76792772445,14566.911349520047,14501.355166572557,LOG00002,Idle 35,14.5,15.0,27.538461538461547,0.9584257309029243,32.589734765839026,24.50850098619329,39.0,1.2938950093406085,4.334161735700198,12612.172442941674,10714.285714285714,0.0,0.0,1.0227181501857971,0.6949715028832675,0.8603706755818908,0.8644477765565304,0.6242071386520189,0.9698491053855649,0.6469217487611307,0.46976566771430117,0.862427428107885,0.2991873718701387,0.37463683257812136,0.26353420598872396,4.9711141597847535,6.917981675211846,3.3617017172949106,1.176948711940672,1.9945494881064558,2.387095484489677,2.935197542821371,0.8743391231493893,1.3062802760819936,14.520008,0.0,5.287453227034823,0.31586712266227557,1.637595177546107,11432.234432234432,13426.880811496198,12350.183150183151,13239.391377852915
LOG00008,Idle 35,9.5,10.0,27.08599605522683,0.07036915890411596,29.654809090617082,24.703175542406317,34.0,1.2382529463075413,4.349842209072978,12444.146238377007,10042.857142857143,0.0,0.0,1.0033558638085807,0.9140246205943842,0.8040908191816311,1.1719197715701362,0.9514572316415872,0.8807014780802539,0.8393224740118752,0.5762667834232662,0.556555725053765,0.2690261134732319,0.3424181040117495,0.24486477741690765,5.913536533261509,8.270322279163942,4.1838945338460425,0.9179435229134375,1.7889676096500466,2.9482719841133536,3.670877983215032,0.9597301694986385,1.215809572804526,9.811032,0.0,6.347522309316205,0.28843483776233025,1.4217991102184118,10758.298112144268,13540.65934065934,12877.909270216962,12599.718230487462,LOG00002,Idle 35,14.0,14.5,26.849604743083006,1.4172183137789,32.44553714469715,24.71788537549407,31.0,1.2193380062214652,4.139683794466403,12461.024844720496,10714.285714285714,0.0,0.0,0.8407699506615545,0.987344156315781,0.7274826481609069,0.8281108318234828,0.9532754195955778,0.8842650566119183,0.3384969204643772,0.7037791863616392,0.6806007346258294,0.2535437688639065,0.2819563393368805,0.23816012875646972,5.3470647581356845,7.376200133978662,3.921189324804465,0.7262525768507746,1.2297441634459099,2.6300182599044497,2.8617692639620866,0.9169903469901834,1.32567892545065,14.133187,0.0,5.726405378163047,0.25852405881030777,1.0098795752246081,11757.25578769057,13044.353472614343,11825.889328063242,13216.600790513834
LOG00008,Idle 35,10.0,10.5,27.799605522682445,2.4213628129631997,34.74125606968776,24.772110453648914,59.0,1.1371484317971514,4.543786982248521,12703.62073823612,10128.57142857143,0.0,0.0,1.7482334366854648,0.9617826712356413,0.4982213608020027,2.15989517827322,1.1395323496137921,0.5129214768884506,1.4295993798074846,0.6810451353936365,0.26925756504051085,0.328321472055044,0.44110511352636145,0.2603422003325821,7.190611693753685,10.53310535842908,5.6016011343914665,1.2793561066913604,2.1231994508568155,5.491251783869153,4.396071403762938,1.410912126220878,6.1187753218524925,10.499829,0.0,8.042162650492513,0.351258106177165,1.7528160137115298,11451.817413355877,13731.248238940545,12521.470836855453,13109.946463792616,LOG00002,Idle 35,15.0,15.5,26.941617357001974,1.5790366534671132,32.94677090049652,24.73674556213018,45.0,1.2755332504837338,3.9946153846153845,12446.816004508313,9857.142857142857,0.0,0.0,0.7702165224678055,0.8168951548290622,0.7610830018197773,0.832194536848603,0.8652299607216836,0.8314758430841827,0.5153286914554402,0.5018303660306505,0.6389034720288524,0.276903271754705,0.3624390770537188,0.2523894404970572,5.96215051989319,7.95909839118991,3.9643552889784193,1.056764026528895,1.766675297012201,2.2098934796323326,2.891530173725,0.7938989814408374,1.0988867694076134,15.211741,0.0,6.180900659282475,0.30096397135339925,1.4556599556281526,11107.551422936038,13118.343195266272,12413.581290504366,13147.78810932657
LOG00008,Idle 35,10.5,11.0,36.68478260869565,2.8273413907932663,44.52566797132884,24.576363636363634,97.0,1.841305097699545,7.315671936758893,15877.879728966687,12242.857142857143,0.0,0.0,3.702655881188815,2.254731865002494,0.8197581969059484,4.62686041853515,3.5382153516760564,1.1188943846311696,2.1867389454399433,2.7997485617135403,0.9165312239266822,0.37459941423634924,0.483314087433016,0.2887492889035707,3.178752792228942,4.187161778674776,7.017440227807022,1.60712368427053,2.948581278359107,10.745529450057607,8.780705581776102,3.0654099528089014,6.2847968669743866,10.528446,0.0,5.0623202988926765,0.3904242906120394,2.374550282857062,15657.368718238282,16398.475437605874,14415.8667419537,17039.80801806889,LOG00002,Idle 35,53.0,53.5,33.2905325443787,1.6517963183586626,43.67930024300157,24.137218934911246,60.0,2.1385388755377535,6.162465483234714,14403.472809242041,9085.714285714286,0.0,0.0,1.1330007568737737,1.1194526554696027,0.8784816900879646,1.137656492189623,1.0711622309397908,1.053570233640522,0.8197862590785474,0.566749816313221,1.0842067409625447,0.3810863951182189,0.44068791477653463,0.2858469122125142,2.0124798836165363,4.766526816742351,5.0104290997705325,1.7473968440204855,2.5288942900630276,3.851278637029454,4.763230302970049,1.12624707833461,1.3855435309618316,53.428408,0.0,4.1582950408595964,0.3746736962548071,2.1735572296130297,10316.004508312202,15267.11749788673,15843.758805297268,16187.010425471963
