file,group,start,end,th_mean,th_std,speed,voltage,sp_max,acc_max,current,rpm_mean,rpm_min,motor_top_pct,motor_bottom_pct,shake_err_roll,shake_err_pitch,shake_err_yaw,shake_gyro_roll,shake_gyro_pitch,shake_gyro_yaw,shake_sp_roll,shake_sp_pitch,shake_sp_yaw,high_gyro_roll,high_gyro_pitch,high_gyro_yaw,high_raw_roll,high_raw_pitch,high_raw_yaw,high_D_roll,high_D_pitch,D_roll,D_pitch,shake_combined,shake_peak,shake_peak_t,shake_time_gt8,motor_activity_roll,motor_activity_pitch,rpm_min_p05
LOG00006,Idle off,5.0,5.5,15.122287968441814,21.508045288268352,51.114466652223555,24.865463510848127,81.0,4.998673573029181,4.05378698224852,10463.067061143984,3628.5714285714284,0.0,50.4930966469428,1.62675471524314,1.6859798330534983,0.5067061715656863,1.5363245238902983,1.7617540544060803,0.5063361369834611,1.2509380969637218,1.0656290381244142,0.007336594924915013,0.5644964213080389,0.7388859037200233,0.607012235000886,3.1751197578666934,3.6388881077063817,4.069112472406216,2.4719145510615084,3.6587094909980915,5.4365626104875755,5.7485097974621855,1.656631959885612,3.130775792057605,5.022697,0.0,2.4719145510615084,3.6587094909980915,3675.714285714286
LOG00006,Idle off,6.5,7.0,31.46962524654833,3.9130521057911776,28.918250149298462,24.770315581854042,121.0,2.5244934423719987,7.337357001972386,15231.227106227108,9900.0,0.0,0.0,5.938596011208144,5.946092097450594,1.4759646183097364,6.065525981305821,5.8439632989316,1.5340563467557797,0.8041869693839908,1.145085548314479,0.4772006727186877,0.5979995195121349,0.8959751387678788,0.5961116222395816,4.9104806406107,5.991562618249456,8.936524547435177,3.3456619048800387,5.610985065035857,17.89157570652533,17.709022204955904,5.942345236339846,8.350776936283616,6.578115,0.07100591715976332,3.3456619048800387,5.610985065035857,10461.42857142857
LOG00006,Idle off,7.0,7.5,34.03944773175542,4.825219547255927,12.015240795522924,24.44777120315582,89.0,2.9424926048581286,8.078717948717948,16078.430543815159,12214.285714285714,0.0,0.0,1.9817471209619442,1.557926761550993,0.8283186858348028,2.726956263767416,1.5600001371706824,0.8380908969550364,1.2123013885279887,0.8363610231957896,0.26835833965543204,0.3363442870558357,0.5060557108280924,0.33139980117576007,2.770025604059554,4.766307517029788,9.541938077595397,1.353851907647417,2.9746600357344826,6.068803403756928,7.474875735313774,1.7824782531349042,3.3381394653276355,7.000445,0.0,1.353851907647417,2.9746600357344826,12541.428571428572
LOG00006,Idle off,7.5,8.0,47.46581027667984,23.24763741312369,15.067875699618908,24.025454545454544,116.0,6.738675419432407,13.425533596837944,20180.25127046866,4885.714285714285,0.0,10.474308300395258,1.8464996195354344,3.4817809748569686,1.1350702256069034,1.6762139010525743,4.409987115619423,1.1349645871579452,0.7964144858484067,2.2387879082339297,0.01621457834009664,0.45869909385146995,0.7047547491973786,0.3937944632548372,3.6368445196831027,3.7931748913297536,9.429006509115675,1.6290184904272538,3.1900709967261593,3.8750239065946217,15.358689008611416,2.7867866443110105,5.339593427153826,7.843218,0.0,1.6290184904272538,3.1900709967261593,6617.857142857143
LOG00006,Idle off,9.5,10.0,24.045364891518737,11.20357936319137,13.673024661862916,24.713195266272187,59.0,2.4351024084469266,5.882169625246549,12043.758805297268,3357.1428571428573,0.0,3.7475345167652856,1.1694540105421456,1.4654036465737612,0.7300563686775379,1.0831440596177746,1.3587762735845355,0.7300548993559484,0.40567802172713696,0.36079499187441955,9.689638552515912e-05,0.6957436706870691,0.7727191220556191,0.5605196140751293,4.281992290768329,5.359173747353097,7.283143642126053,3.5835912134341994,4.701617618053543,5.255784828333034,6.6473586277436745,1.3257131156786497,1.988796741303888,9.794225,0.0,3.5835912134341994,4.701617618053543,3542.8571428571427
LOG00006,Idle off,10.0,10.5,22.513806706114398,2.767400874415982,25.568413015173043,24.72293885601578,38.0,1.743071327627829,4.161794871794871,12378.585517047055,10128.57142857143,0.0,0.0,1.2081145259738288,0.5806421216480524,0.5260112173215326,1.2354621536499852,0.6248328288151634,0.5260111841326071,0.8601977637776549,0.4334853781632922,5.263195498554947e-07,0.2750607262506066,0.3399512566445826,0.25755901997715086,5.819166191945545,9.160057816196966,4.742167815896064,0.7668521000054335,1.6740791287072785,3.228937209510055,3.1954726356036156,0.9478095750995875,1.935484183961723,10.274818,0.0,0.7668521000054335,1.6740791287072785,10357.142857142857
LOG00006,Idle off,10.5,11.0,22.21245059288538,2.810247890147892,31.58521186931283,24.654328063241106,69.0,1.5046705805539289,4.169407114624504,11989.857425183513,9857.142857142857,0.0,0.0,3.053109573547204,1.1460805809969654,0.6208043026095379,4.039854043345276,1.230654374825669,0.6100056105689097,2.5602991027581683,0.7512564105201502,0.07060189893931235,0.2917603128046443,0.3897155135261061,0.2871787269268331,8.776453742171162,6.827196434300986,7.602181289265593,1.2035252792319076,1.827126938776629,11.213522328151514,3.5948469927363766,2.30596820947557,5.035939678886911,10.999152,0.0,1.2035252792319076,1.827126938776629,10157.142857142857
LOG00006,Idle off,11.5,12.0,40.93471400394477,1.2486434718462132,45.075195680578254,24.328145956607493,149.0,3.2732633849385793,10.93810650887574,17966.694843617915,9757.142857142857,0.0,0.0,1.9280218408377938,2.010935192733651,1.1405026891748602,1.856801991329265,1.9859778868959073,1.080832602536655,0.7522063537641511,0.6539229095875861,0.3414826541866722,0.5073214730593201,0.6614074483120079,0.3792407000152207,4.787671280715005,4.598647028559047,3.8452850997241077,2.573816907376638,3.978239428269691,6.32096789332783,7.804691857475096,1.969914791066137,4.0560847294725395,11.99977,0.0,2.573816907376638,3.978239428269691,10328.57142857143
LOG00006,Idle off,12.0,12.5,38.11719367588933,1.1651904584173716,37.606068707571964,24.49833992094862,151.0,3.053211099275465,9.875849802371542,17152.117447769622,9828.57142857143,0.0,0.0,4.563912819751628,3.434683527776495,1.114489125733048,4.470371271097308,3.4687401610413255,1.0641053856554126,1.0593873591063412,0.7617944125425236,0.49360216194309076,0.798089369816937,0.8248838161281267,0.5489566712314152,4.055577037017537,5.537157857076594,7.0255221375104036,4.483610581669115,5.245049324362995,13.849273321784864,12.908234954643055,4.038957239330001,6.84693443534524,12.265206,0.0,4.483610581669115,5.245049324362995,10185.714285714286
LOG00006,Idle off,12.5,13.0,34.2301775147929,13.743046890639317,18.904251002882027,24.553984220907296,124.0,4.158772011719569,8.907100591715976,16028.564384333615,8371.42857142857,0.0,0.0,3.2573019047541516,2.203120768761497,1.0446403174576662,4.2687698417376465,3.2692575394811874,1.0146436315626537,2.613176797517872,2.1896939491171423,0.5316569755325966,0.3377970750448574,0.548970520699654,0.37666598129047485,3.0586883290133247,4.5523393151743905,7.015098422670408,1.33731632786482,2.9315878702491376,12.8324815926784,9.258398820419691,2.7806255429725932,4.939840318805788,12.849367,0.0,1.33731632786482,2.9315878702491376,8985.714285714286
LOG00006,Idle off,13.0,13.5,18.56765285996055,3.449994856613195,15.825240352181476,24.703984220907294,121.0,1.413808641777442,3.462445759368836,10664.11665257819,7757.142857142857,0.0,0.0,1.1760376549278642,1.1435562708516331,0.3832769773285056,1.4553527188286173,1.5066450106926488,0.38298532104259875,1.2291472997738706,1.2080099390937205,0.0028720873264802796,0.3389899991708602,0.42241905562455984,0.2630026424881038,4.481438960811353,7.16947341804292,3.8385135581952605,1.2048409555204862,2.1607721141739695,7.113201328241361,9.395642953458573,1.1599106669076555,3.5477015519227426,13.499653,0.0,1.2048409555204862,2.1607721141739695,7971.428571428572
