file,group,t,score
LOG00006,Idle off,6.578115,8.350776936283616
LOG00006,Idle off,7.843218,5.339593427153826
LOG00006,Idle off,12.265206,6.84693443534524
LOG00006,Idle off,14.664052,5.4548175940193655
LOG00006,Idle off,15.93499,13.14480616977189
LOG00006,Idle off,19.71008,10.15677105562109
LOG00006,Idle off,22.746058,22.143362521049916
LOG00006,Idle off,24.636491,5.240733685157311
LOG00006,Idle off,26.230908,14.570712692970229
LOG00006,Idle off,30.066953,10.134967254051523
LOG00006,Idle off,32.190179,29.72884145118096
LOG00006,Idle off,35.159889,12.662411867238262
LOG00006,Idle off,39.650935,5.95561649685828
LOG00006,Idle off,43.367312,6.33421525995644
LOG00006,Idle off,45.652151,5.0779649530438995
LOG00006,Idle off,49.887412,6.827629877904248
LOG00006,Idle off,55.78598,17.15054432954696
LOG00006,Idle off,60.961455,5.689956858934664
LOG00006,Idle off,68.549079,5.2151162746463156
LOG00006,Idle off,74.679642,7.462239395075678
LOG00006,Idle off,77.926463,7.678547480429866
LOG00006,Idle off,79.797981,7.3954285657468715
LOG00006,Idle off,82.163736,13.667910760101456
LOG00006,Idle off,86.239234,7.0246553752703385
LOG00006,Idle off,88.392851,13.939702491091607
LOG00006,Idle off,93.053307,6.64769805932117
LOG00006,Idle off,104.790177,10.365795625804337
LOG00006,Idle off,109.900501,8.415560645327181
LOG00006,Idle off,117.734743,5.236279210074251
LOG00006,Idle off,119.00839,9.379565991955852
LOG00006,Idle off,124.997809,5.158553980269969
LOG00006,Idle off,126.652261,9.747917048243997
LOG00006,Idle off,132.088189,9.252291244080723
LOG00006,Idle off,137.390933,5.0447157351981415
LOG00006,Idle off,145.299066,8.137039235868846
LOG00006,Idle off,156.605889,15.684962729846282
LOG00006,Idle off,168.793765,7.083092485004428
LOG00006,Idle off,182.737811,8.86267256712719
LOG00006,Idle off,189.095209,10.501814253438988
LOG00006,Idle off,193.498204,21.68885920830705
LOG00006,Idle off,197.03603,7.506803372564406
LOG00006,Idle off,198.265296,9.216726947921794
LOG00006,Idle off,201.231915,5.650592223579043
LOG00006,Idle off,202.755169,5.870217151192913
LOG00006,Idle off,205.322185,14.058237334195919
LOG00006,Idle off,209.294065,16.753597283464554
LOG00006,Idle off,212.655254,13.112582731980918
LOG00006,Idle off,215.860564,15.406026715610574
LOG00006,Idle off,225.26346,5.07471956523025
LOG00006,Idle off,237.165527,5.273125412680215
LOG00006,Idle off,250.643387,7.067121244609548
LOG00006,Idle off,251.937775,5.065766806309152
LOG00006,Idle off,254.735691,8.147216842549561
LOG00006,Idle off,259.021387,5.271890136142343
LOG00006,Idle off,270.283239,9.820042455489025
LOG00006,Idle off,281.711689,5.15521209363267
LOG00006,Idle off,283.993611,5.023195503110337
LOG00006,Idle off,299.473778,7.049458095397591
LOG00007,Idle off,5.556319,5.184736979287914
LOG00007,Idle off,10.841768,8.174561018452545
LOG00007,Idle off,20.903526,10.255155247884426
LOG00007,Idle off,27.079951,18.54666089452773
LOG00007,Idle off,29.629342,8.014160344513597
LOG00007,Idle off,31.566035,5.226492424548192
LOG00007,Idle off,36.196119,7.414695900647821
LOG00007,Idle off,45.177918,15.245881608820238
LOG00007,Idle off,49.202175,5.38925040540624
LOG00007,Idle off,52.351322,7.1852165527107745
LOG00007,Idle off,63.716553,6.230038375897078
LOG00007,Idle off,69.760103,7.27063601927657
LOG00007,Idle off,82.364057,5.4301197392289815
LOG00007,Idle off,85.335547,5.408666443131567
LOG00007,Idle off,92.292674,11.939112939693157
LOG00007,Idle off,119.404604,6.267273465532379
LOG00007,Idle off,122.076091,8.79094767129441
LOG00007,Idle off,124.249379,11.752175044608315
LOG00007,Idle off,126.714694,9.281146371582862
LOG00007,Idle off,129.697961,7.585065243277099
LOG00007,Idle off,136.885952,5.047560554837459
LOG00007,Idle off,138.758419,5.7854259501354415
LOG00007,Idle off,140.10901,7.2022542300251695
LOG00007,Idle off,142.553678,8.706738917471045
LOG00007,Idle off,147.941227,8.072628048117052
LOG00007,Idle off,149.209923,5.990283191630167
LOG00007,Idle off,152.497103,9.640952360866438
LOG00007,Idle off,154.769117,11.315926840875207
LOG00007,Idle off,157.162484,6.989862749636522
LOG00007,Idle off,163.436026,10.101193553949114
LOG00007,Idle off,167.55189,16.156216765005805
LOG00007,Idle off,174.806976,9.411389716658965
LOG00007,Idle off,183.378089,5.284896860460882
LOG00007,Idle off,186.996725,14.411214034057252
LOG00007,Idle off,191.072165,5.5963258468989885
LOG00007,Idle off,199.161874,8.906451355771663
LOG00007,Idle off,207.528826,9.452136511375521
LOG00007,Idle off,215.435088,5.603285715500924
LOG00007,Idle off,217.090523,15.76876146816625
LOG00007,Idle off,227.421792,7.458220367387975
LOG00007,Idle off,229.164049,14.454131971260756
LOG00007,Idle off,232.945555,5.8378171616808965
LOG00007,Idle off,237.683018,7.819545593311167
LOG00007,Idle off,242.009069,5.7528801617140015
LOG00007,Idle off,243.265943,11.683542840889366
LOG00007,Idle off,250.454966,10.85583077891742
LOG00007,Idle off,271.015662,7.569549344455914
LOG00007,Idle off,272.771729,6.0311359340433075
LOG00007,Idle off,278.327985,8.574128433592158
LOG00007,Idle off,280.826925,12.343746425915338
LOG00007,Idle off,283.562637,10.33436958967496
LOG00007,Idle off,288.823924,7.9336215834276365
LOG00007,Idle off,294.801416,5.74163523113226
LOG00007,Idle off,300.311198,5.330307387562065
LOG00007,Idle off,307.241589,7.293671537484878
LOG00007,Idle off,309.011438,8.62828120644517
LOG00007,Idle off,314.030017,8.425189109361765
LOG00007,Idle off,316.08599,9.00531542184243
LOG00007,Idle off,318.837492,6.06902463413026
LOG00007,Idle off,323.90345,11.208511509107959
LOG00007,Idle off,335.714479,6.369478877609792
LOG00007,Idle off,340.178621,9.023040672210543
LOG00007,Idle off,342.951817,10.518878748040724
LOG00007,Idle off,345.571122,7.19939251175299
LOG00007,Idle off,359.497358,7.867082379961021
LOG00007,Idle off,366.234506,10.79749195897961
LOG00007,Idle off,370.45103,8.458967755480577
LOG00008,Idle 35,10.528446,6.2847968669743866
LOG00008,Idle 35,17.89636,6.4095352334250295
LOG00008,Idle 35,20.503168,7.3432905908096515
LOG00008,Idle 35,24.323538,6.244335993649638
LOG00008,Idle 35,28.629285,9.069386059736829
LOG00008,Idle 35,30.343086,8.0212528680668
LOG00008,Idle 35,32.6863,9.284284380130634
LOG00008,Idle 35,34.261919,9.709823156302384
LOG00008,Idle 35,38.903013,9.322254275565784
LOG00008,Idle 35,41.79275,18.390314783108117
LOG00008,Idle 35,43.705782,5.686311952224696
LOG00008,Idle 35,51.710025,5.26065128437156
LOG00008,Idle 35,54.62839,6.374979273735615
LOG00008,Idle 35,57.460914,26.009190501502363
LOG00008,Idle 35,61.444729,7.391471318631247
LOG00008,Idle 35,63.781946,6.768728826280939
LOG00008,Idle 35,65.438406,10.267094224774974
LOG00008,Idle 35,79.610872,9.86506541225351
LOG00008,Idle 35,82.430561,6.986575112143579
LOG00008,Idle 35,86.030626,12.131188869036835
LOG00008,Idle 35,93.749809,5.259095320399852
LOG00008,Idle 35,95.759509,11.37973078480791
LOG00008,Idle 35,99.430604,31.32303415846479
LOG00008,Idle 35,102.15452,7.308824933553123
LOG00008,Idle 35,104.956336,10.585697572542118
LOG00008,Idle 35,114.421471,12.397385556258497
LOG00008,Idle 35,124.551657,5.7960043305119875
LOG00008,Idle 35,128.002721,16.493226512307658
LOG00008,Idle 35,131.901605,13.773060867654534
LOG00008,Idle 35,136.692355,11.889574618739648
LOG00008,Idle 35,139.047287,16.046980427597447
LOG00008,Idle 35,146.321273,5.952835666442981
LOG00008,Idle 35,157.204217,5.939123338368063
LOG00008,Idle 35,159.996238,11.303093586648574
LOG00008,Idle 35,173.493629,24.28567532469762
LOG00008,Idle 35,176.243191,6.644340911081488
