file,group,start,end,th_mean,th_std,speed,voltage,sp_max,acc_max,current,rpm_mean,rpm_min,motor_top_pct,motor_bottom_pct,shake_err_roll,shake_err_pitch,shake_err_yaw,shake_gyro_roll,shake_gyro_pitch,shake_gyro_yaw,shake_sp_roll,shake_sp_pitch,shake_sp_yaw,high_gyro_roll,high_gyro_pitch,high_gyro_yaw,high_raw_roll,high_raw_pitch,high_raw_yaw,high_D_roll,high_D_pitch,D_roll,D_pitch,shake_combined,shake_peak,shake_peak_t,shake_time_gt8,motor_activity_roll,motor_activity_pitch,rpm_min_p05,trigger,pre_th_min,pre_speed,pre_sp_max,pre_acc_max,pre_rpm_min,pre_low_rpm_p05,pre_low_rpm_median,pre_low_duration,eligible
LOG00006,Idle off,9.692250000000001,10.692250000000001,24.97100591715976,4.9921286734491,23.17530209961161,24.68817554240631,41.0,2.4351024084469266,5.146508875739644,13128.014933784163,10128.57142857143,0.0,0.0,1.3477011820293456,1.051572788989745,0.6096996674852925,1.305792187012968,0.9914126191108386,0.6097006720989431,0.8221605038932509,0.410748357790024,2.9781089793102016e-05,0.5048616017951874,0.5726952751172365,0.40012760160154137,5.563822739940198,7.988214669509959,6.278637194219403,2.4882593305157004,3.3361621963003265,4.399210974619318,4.9522373562206345,1.2087397996647096,2.706292691093171,10.689289,0.0,2.4882593305157004,3.3361621963003265,10418.57142857143,9.64225,0.0,12.856585497678475,1019.0,1.4237079752814497,3100.0,3371.4285714285716,3442.8571428571427,1.4499029999717266,True
LOG00006,Idle off,15.380122,16.380122,35.7378698224852,8.855324443788048,38.68591062772181,24.31073964497041,165.0,3.853006181331283,9.326923076923077,16147.488729219498,6657.142857142857,0.0,0.0,6.96377150597086,6.278683100167765,1.657025249091786,6.9967811443212184,6.161408160561334,1.7780098468371663,1.1497530985361781,0.8695299923738198,0.567500440432442,0.6626875360100086,0.9251279033035438,0.6346988652714516,3.9938417922337694,7.369011711006205,7.232008227582976,3.592893504946441,5.496908065849645,20.353629085804936,17.15447854416706,6.630082015318663,13.14480616977189,15.93499,0.34911242603550297,3.592893504946441,5.496908065849645,7357.142857142857,15.330122,0.0,62.29667650016364,285.0,5.682393432973971,3542.8571428571427,3614.285714285714,3714.285714285714,0.7057049999862386,True
LOG00006,Idle off,18.757644,19.757644,26.78067061143984,3.0214586168859663,57.49593848692249,24.11008875739645,135.0,3.457098353537471,5.961045364891519,13150.887573964497,5214.285714285715,0.0,0.0,5.9461602082000145,4.883605660101727,1.7322320909555946,5.961418928267946,4.803458844529878,1.7315085350710269,1.0406554929773677,0.4866677262050332,0.16219370147813944,0.689920891331389,0.9885878652388117,0.5333835823683641,5.017841218015541,7.454614841461779,6.006507826978925,3.714388926573726,6.012020481254344,17.23800786597386,13.54738196794511,5.440883451469937,10.15677105562109,19.71008,0.2465483234714004,3.714388926573726,6.012020481254344,5857.142857142857,18.707644,0.0,109.94302151076575,313.0,6.563675402782409,2271.4285714285716,2571.4285714285716,4057.1428571428573,0.47375999999076157,True
LOG00006,Idle off,22.639181,23.639181,33.24644970414201,4.375544172292556,15.85816203603148,24.211074950690335,458.0,2.5220694598132463,8.199201183431953,15472.988870104255,9442.857142857143,0.0,0.0,9.770377948334323,6.312453931834903,2.4774270501845184,9.712640951014986,6.322480462197242,2.4560565228404414,1.5556576130260005,1.0044193729485842,1.1749450399730539,0.5433005340077316,0.8381848867831178,0.6238744708658391,4.647259445548928,7.632094805336481,7.981695396839883,2.974909941287742,5.093366559272952,28.62909789966012,18.933367016665873,8.225185708992699,22.143362521049916,22.746058,0.3106508875739645,2.974909941287742,5.093366559272952,10318.57142857143,22.589181,0.0,48.84258197357458,544.0,7.114498916132603,2985.714285714286,3042.8571428571427,3157.1428571428573,1.1498549999775776,False
LOG00006,Idle off,25.986889,26.986889,34.687179487179485,17.945342539755686,21.437807850674382,23.85004930966469,213.0,6.492090658298763,8.503076923076923,15481.269371653985,8057.142857142857,1.183431952662722,0.0,8.353340502991944,7.196569682844056,1.7684947796488353,8.521032149156767,7.139518615352464,1.8867625449808338,1.5706194771028275,1.6803299002023824,0.6591809248101099,0.5396189618814391,0.8914844159968888,0.40926871592194264,2.9433611220530893,6.226989579731022,5.201563227442862,2.332578481653756,4.987174671247324,17.454420779095702,16.530439318515295,7.796438698500614,20.779725668718072,26.157896,0.21301775147928995,2.332578481653756,4.987174671247324,8457.142857142857,25.936889,0.0,50.07853236521523,1170.0,7.283667952869368,3057.1428571428573,3142.8571428571427,3342.8571428571427,1.079777999978944,True
LOG00006,Idle off,28.694227,29.694227,18.148224852071003,33.87607610618161,25.19651167339618,23.78131163708087,1170.0,6.7509806768315705,6.861213017751479,11365.779092702169,3014.285714285714,12.52465483234714,75.83826429980276,23.82732789486308,4.484002241986729,2.6763530241048388,37.275451176761706,4.7924793867717606,2.675304968341079,35.33036401976942,1.6651751191056248,0.7307369143178072,0.6040836573379185,0.8312362100545795,0.8129266824928137,2.950648197672396,3.5246299728819435,4.89161242839813,2.8553096990209514,3.7474481999174025,143.94529012205808,15.16562083222525,17.144209382696285,56.55863435920521,29.023096,0.33925049309664695,2.8553096990209514,3.7474481999174025,3057.1428571428573,28.644227,6.8,31.578388348556306,317.0,7.532756923746671,5542.857142857143,5700.0,6285.714285714286,0.1204139999976519,False
LOG00006,Idle off,32.121784999999996,33.121784999999996,41.48431952662722,16.8039050089782,29.908238128884157,23.606410256410253,210.0,6.59051242549539,10.504161735700198,17552.701465201466,9628.57142857143,1.9723865877712032,0.0,11.785973248772658,8.609623426778029,1.932041185421183,11.969542143200197,8.686055435533547,2.0022767853002157,1.6679671075636213,0.9342567149361555,1.0276488929322136,0.9462189538164002,1.0193663133583284,0.7306088307260875,5.58197979827915,7.37485225934559,6.486344431025889,4.228441540513057,5.3645140809292196,23.792930679003334,16.772347393280043,10.320726257674638,29.72884145118096,32.190179,0.19625246548323472,4.228441540513057,5.3645140809292196,10257.142857142857,32.071785,0.0,57.6704204314036,599.0,7.494874060847038,3000.0,3110.714285714286,3300.0,0.9238319999819851,True
LOG00006,Idle off,34.784659999999995,35.784659999999995,31.755818540433925,12.988958316073607,28.342986461082553,23.754201183431952,171.0,5.295033610257974,7.211272189349112,14742.318258664412,9257.142857142857,0.0,0.0,3.702858399335057,5.1568127233307655,1.1960594617362899,3.6535496012749484,5.615987530535625,1.1270779321283801,1.823288675491064,1.4682753956553574,0.6133018752571778,0.5616266436660392,0.7142473129001959,0.4535696261294982,5.484477230614371,7.406325143557208,5.639405638822067,2.794265616702554,3.9798837906673907,10.806163775475842,12.966121840467721,4.489091098932624,12.662411867238262,35.159889,0.15680473372781065,2.794265616702554,3.9798837906673907,9371.42857142857,34.73466,2.6,26.701092763113344,448.0,7.387871614459048,3214.285714285714,3271.4285714285716,4185.714285714285,0.2635289999948611,True
LOG00006,Idle off,43.200269999999996,44.200269999999996,25.800493096646942,15.1270950185959,51.62843933906301,23.784566074950693,146.0,4.388312983385406,6.164102564102565,12745.030290222598,4328.571428571428,0.0,0.0,3.1128643270757492,1.7007592673863474,0.761267398802406,3.593955296463839,1.653742723354377,0.7673085582696888,1.54386950510171,1.0737573799817748,0.02854125710417781,0.4850538648184148,0.7697880573323217,0.5479695514680333,4.065290454347258,5.442822053908333,6.498936112586439,2.204107644458972,4.23441279779457,8.792423221979162,9.539650463537406,2.508237070571808,6.890761303792461,43.277536,0.0,2.204107644458972,4.23441279779457,4500.0,43.15027,0.0,73.60375521892196,416.0,6.495086738676796,2700.0,2742.8571428571427,3157.1428571428573,0.9050789999823508,True
LOG00006,Idle off,51.442879999999995,52.442879999999995,30.733037475345167,8.985915082307738,58.77971823408902,23.489418145956613,223.0,3.814928313315479,6.977130177514793,14281.84699915469,7971.428571428572,0.0,0.0,2.114010036287197,1.669968989689425,1.1213584259407616,2.4174580819324403,1.7292587618551842,1.005360902978862,1.3200350305943906,0.5214612774781845,1.0573919829809173,0.49847577414034666,0.5614144292459737,0.5367379366652274,6.530673514635996,6.858373287557865,7.9430344617280255,2.2589851684801574,3.019604218087873,11.379416692447599,5.588714325374924,1.9049717662011838,3.905479120753633,51.973956,0.0,2.2589851684801574,3.019604218087873,8300.0,51.39288,0.0,60.68417788170396,1170.0,7.381039248049074,2557.1428571428573,3214.285714285714,3428.5714285714284,1.2396719999758261,True
LOG00006,Idle off,55.665305999999994,56.665305999999994,42.200295857988166,17.190896801834512,22.513781350535368,23.38060157790927,159.0,5.6222706212891085,11.543136094674557,17780.35714285714,5700.0,0.0,0.0,8.079156317144498,7.855725166426714,1.9920231264833508,8.099641935340443,7.9827364224414685,1.987125723070062,0.22105447591448524,1.4592634983405015,0.18107267180620865,0.73244814368835,1.0664441523508787,0.5339706933620968,3.683560063866811,5.594455581817016,6.6383733648577525,3.493473057410655,6.143069886273069,17.637037414412784,21.061242529433756,7.96822391400009,17.15054432954696,55.78598,0.32840236686390534,3.493473057410655,6.143069886273069,6800.0,55.615306,0.0,38.334359288514534,1170.0,2.8822441884826895,3028.5714285714284,3114.285714285714,3300.0,1.4735909999712646,True
LOG00006,Idle off,57.209263,58.209263,47.6060157790927,13.852537463770144,31.025573398708445,23.262534516765285,187.0,5.583022097078379,12.849250493096646,19121.963933502397,9828.57142857143,0.0,0.0,1.8875551624424027,2.075242169307252,1.0259436488224989,2.012275752129599,2.548665575928407,1.0846489859449806,0.8483446033107337,1.6147959239588445,0.7761354290275116,0.5301070750684295,0.8426643766313144,0.386531697279518,3.80352149991943,5.052953349013035,6.9507922342478095,2.315742969496859,4.413155525136739,6.730073224087381,10.979809334307744,1.9836197408442522,3.2245484578827726,58.091604,0.0,2.315742969496859,4.413155525136739,11699.285714285714,57.159263,6.8,25.105469359388877,244.0,5.6222706212891085,5357.142857142857,5457.142857142857,5814.285714285715,0.15890699999690128,True
LOG00006,Idle off,74.43169499999999,75.43169499999999,31.35266272189349,4.386523180388056,19.24887172363501,23.354733727810647,37.0,2.6792784620565273,6.6934319526627215,14633.861651169342,11371.42857142857,0.0,0.0,3.6479733254257067,3.0527995137972384,0.871541075017326,3.705065850522751,3.0549565508367476,0.851737259414411,0.28622435180782724,0.15154415953197753,0.22340995970631963,0.4929215994544616,0.5364963531802489,0.3841640455186636,5.1223422559190475,5.226096191060865,7.20937518628304,2.6093926689848455,3.10748958460767,10.08440708580278,9.039470756531347,3.3635765380364195,7.462239395075678,74.679642,0.0,2.6093926689848455,3.10748958460767,11614.285714285714,74.381695,0.0,13.457333583393229,94.0,1.001548164729277,3157.1428571428573,3228.5714285714284,3300.0,1.4380589999719575,True
LOG00006,Idle off,77.565062,78.565062,27.58885601577909,7.647013060697078,18.47092789277779,23.38593688362919,124.0,2.926945575626483,5.61422090729783,13300.81008734855,9571.42857142857,0.0,0.0,3.7567425643210615,2.359678740494976,0.9250986185633153,4.331513888630763,2.3458535072627686,0.9182581449157415,2.341816329217531,0.8256557117702792,0.17603085033526575,0.5420844315056842,0.5984709969769977,0.5443899057979479,4.85249761743325,6.581610950816574,7.321562067162279,2.7597954116017043,3.437778717582336,12.375892771573739,8.901997648290946,3.1369729400271806,7.678547480429866,77.926463,0.0,2.7597954116017043,3.437778717582336,9828.57142857143,77.515062,4.4,38.778675062532066,163.0,6.888394727937105,3457.1428571428573,3514.285714285714,4471.428571428572,0.9267929999819273,True
