file,frame,field,min_raw,max_raw,mean_raw
LOG00021,I,gyroUnfilt[1],-439.0,1268.0,-8.68772009482226
LOG00021,I,gyroUnfilt[2],-175.0,396.0,9.752575142418179
LOG00021,I,accSmooth[0],-5648.0,2530.0,-421.6754106236834
LOG00021,I,accSmooth[1],-4964.0,3270.0,125.20633609106316
LOG00021,I,accSmooth[2],-5886.0,18825.0,2645.3570353788405
LOG00021,I,motor[0],158.0,2047.0,587.8399689557408
LOG00021,I,motor[1],158.0,2047.0,700.1301245466112
LOG00021,I,motor[2],158.0,2047.0,637.0606075805013
LOG00021,I,motor[3],158.0,2047.0,684.1713611429356
LOG00021,I,eRPM[0],12.0,2308.0,799.8284936670767
LOG00021,I,eRPM[1],12.0,2335.0,935.9805630203741
LOG00021,I,eRPM[2],12.0,2335.0,862.6797135269552
LOG00021,I,eRPM[3],12.0,2326.0,916.7484042300443
LOG00021,G,time,79312410.0,453075803.0,267160639.70252147
LOG00021,G,GPS_numSat,12.0,25.0,19.98497854077253
LOG00021,G,GPS_coord[0],459167735.0,459182162.0,459171248.5244099
LOG00021,G,GPS_coord[1],168424403.0,168460648.0,168450567.77092275
LOG00021,G,GPS_altitude,1378.0,1907.0,1509.080203862661
LOG00021,G,GPS_speed,1.0,3746.0,1049.0944206008583
LOG00021,G,GPS_ground_course,0.0,3599.0,1720.4468884120172
LOG00021,H,last_main_time,79312163.0,79312163.0,79312163.0
LOG00021,H,GPS_home[0],459169175.0,459169175.0,459169175.0
LOG00021,H,GPS_home[1],168454541.0,168454541.0,168454541.0
LOG00021,S,last_main_time,79312163.0,453050888.0,266337754.34
LOG00021,S,flightModeFlags,0.0,129.0,13.76
LOG00021,S,stateFlags,7.0,7.0,7.0
LOG00021,S,failsafePhase,0.0,0.0,0.0
LOG00021,S,rxSignalReceived,1.0,1.0,1.0
LOG00021,S,rxFlightChannelsValid,1.0,1.0,1.0
LOG00022,I,loopIteration,0.0,3244.0,1622.0
LOG00022,I,time,68414244.0,69214775.0,68814511.30665025
LOG00022,I,axisP[0],0.0,2.0,0.9753694581280788
LOG00022,I,axisP[1],-1.0,2.0,0.8522167487684729
LOG00022,I,axisP[2],-3.0,1.0,-0.5763546798029556
LOG00022,I,axisI[0],0.0,0.0,0.0
LOG00022,I,axisI[1],0.0,0.0,0.0
LOG00022,I,axisI[2],0.0,0.0,0.0
LOG00022,I,axisD[0],-2.0,2.0,-0.008620689655172414
LOG00022,I,axisD[1],-2.0,2.0,0.014778325123152709
LOG00022,I,axisF[0],0.0,0.0,0.0
LOG00022,I,axisF[1],0.0,0.0,0.0
LOG00022,I,axisF[2],0.0,0.0,0.0
LOG00022,I,rcCommand[0],1.0,1.0,1.0
LOG00022,I,rcCommand[1],0.0,1.0,0.9926108374384236
LOG00022,I,rcCommand[2],-1.0,0.0,-0.9519704433497537
LOG00022,I,rcCommand[3],1000.0,1000.0,1000.0
LOG00022,I,setpoint[0],1.0,1.0,1.0
LOG00022,I,setpoint[1],0.0,1.0,0.9827586206896551
LOG00022,I,setpoint[2],0.0,0.0,0.0
LOG00022,I,setpoint[3],0.0,0.0,0.0
LOG00022,I,vbatLatest,2489.0,2519.0,2509.618226600985
LOG00022,I,amperageLatest,0.0,172.0,97.15270935960591
LOG00022,I,baroAlt,-54.0,-20.0,-34.926108374384235
LOG00022,I,rssi,740.0,773.0,751.7278325123152
LOG00022,I,gyroADC[0],-1.0,1.0,-0.06280788177339902
LOG00022,I,gyroADC[1],-1.0,1.0,-0.013546798029556651
LOG00022,I,gyroADC[2],-1.0,2.0,-0.017241379310344827
LOG00022,I,gyroUnfilt[0],-1.0,1.0,-0.07881773399014778
LOG00022,I,gyroUnfilt[1],-2.0,2.0,-0.05665024630541872
LOG00022,I,gyroUnfilt[2],-2.0,2.0,-0.01600985221674877
LOG00022,I,accSmooth[0],-108.0,-61.0,-86.75615763546799
LOG00022,I,accSmooth[1],8.0,57.0,28.470443349753694
LOG00022,I,accSmooth[2],1941.0,2067.0,2009.9889162561576
LOG00022,I,motor[0],158.0,178.0,164.08743842364532
LOG00022,I,motor[1],158.0,170.0,158.67857142857142
LOG00022,I,motor[2],158.0,181.0,165.47413793103448
