before_file,before_group,before_start,before_end,before_th_mean,before_th_std,before_speed,before_voltage,before_sp_max,before_acc_max,before_current,before_rpm_mean,before_rpm_min,before_motor_top_pct,before_motor_bottom_pct,before_shake_err_roll,before_shake_err_pitch,before_shake_err_yaw,before_shake_gyro_roll,before_shake_gyro_pitch,before_shake_gyro_yaw,before_shake_sp_roll,before_shake_sp_pitch,before_shake_sp_yaw,before_high_gyro_roll,before_high_gyro_pitch,before_high_gyro_yaw,before_high_raw_roll,before_high_raw_pitch,before_high_raw_yaw,before_high_D_roll,before_high_D_pitch,before_D_roll,before_D_pitch,before_shake_combined,before_shake_peak,before_shake_peak_t,before_shake_time_gt8,before_motor_activity_roll,before_motor_activity_pitch,before_rpm_min_p05,before_trigger,before_pre_th_min,before_pre_speed,before_pre_sp_max,before_pre_acc_max,before_pre_rpm_min,before_pre_low_rpm_p05,before_pre_low_rpm_median,before_pre_low_duration,before_eligible,today_file,today_group,today_start,today_end,today_th_mean,today_th_std,today_speed,today_voltage,today_sp_max,today_acc_max,today_current,today_rpm_mean,today_rpm_min,today_motor_top_pct,today_motor_bottom_pct,today_shake_err_roll,today_shake_err_pitch,today_shake_err_yaw,today_shake_gyro_roll,today_shake_gyro_pitch,today_shake_gyro_yaw,today_shake_sp_roll,today_shake_sp_pitch,today_shake_sp_yaw,today_high_gyro_roll,today_high_gyro_pitch,today_high_gyro_yaw,today_high_raw_roll,today_high_raw_pitch,today_high_raw_yaw,today_high_D_roll,today_high_D_pitch,today_D_roll,today_D_pitch,today_shake_combined,today_shake_peak,today_shake_peak_t,today_shake_time_gt8,today_motor_activity_roll,today_motor_activity_pitch,today_rpm_min_p05,today_trigger,today_pre_th_min,today_pre_speed,today_pre_sp_max,today_pre_acc_max,today_pre_rpm_min,today_pre_low_rpm_p05,today_pre_low_rpm_median,today_pre_low_duration,today_eligible
LOG00006,Idle off,209.11715,210.11715,36.387376725838266,8.970960075522468,20.142232441490787,22.200581854043392,52.0,3.2887529966021014,8.510049309664693,15372.340800225416,9442.857142857143,0.0,0.0,7.5239960444249085,6.759643782550992,1.752848779732052,7.590258318160984,6.961383517401196,1.7560546150035796,0.3736216350131359,1.144982856299953,0.0118188047506846,0.5622077329996419,0.8055359590547696,0.4751709394974717,4.029329315302798,5.436005479166869,7.287835115914794,2.884719281354573,4.8095579527420975,15.55124505882678,16.3948144493435,7.152038190037231,16.753597283464554,209.294065,0.3333333333333333,2.884719281354573,4.8095579527420975,9714.285714285714,209.06715,0.0,43.66854376575044,657.0,5.750594585194405,2714.285714285714,2757.1428571428573,3014.285714285714,0.7175489999860076,True,LOG00002,Idle 35,315.204759,316.204759,40.7171597633136,8.404915523121398,17.03909132152965,21.875039447731755,92.0,4.781292634661704,8.498155818540434,15590.539588616512,11371.42857142857,0.0,0.0,7.837592872916444,7.039334206645976,1.1780144293242718,8.04281345929775,7.041486952487968,1.1970623012298056,0.7963320667575822,1.2377561970055113,0.07921434619478232,0.5467499606447697,0.6210981986468206,0.4111618252531488,3.323039882687917,4.594868509881089,5.047791084315087,2.6267672984402104,3.4417124571067554,15.373329193544794,14.93919298956564,7.4491639837785435,17.90345416652616,315.284,0.26232741617357,2.6267672984402104,3.4417124571067554,11714.285714285714,315.154759,0.0,46.89208876769272,943.0,2.9503777860132074,3171.4285714285716,3442.8571428571427,3514.285714285714,1.4814869999924412,True
LOG00007,Idle off,29.434664,30.434664,36.52909270216963,7.26937401604118,18.58876760833689,24.077268244575937,97.0,3.640550506222589,8.86292899408284,16497.89729501268,11457.142857142857,0.0,0.0,3.9220241425243008,4.368845448359143,1.1062561968812958,3.915263292319532,4.44770774517828,1.0994344277947228,0.1245347636436682,0.8762738090780928,0.3340472690349103,0.6094381399416448,0.6617245783190935,0.4162811771904487,4.315547723127239,4.452064246546149,9.75471831884221,3.331668179339388,3.990988915497348,11.403656979448783,13.475084759296209,4.15145058540939,8.014160344513597,29.629342,0.0069033530571992,3.331668179339388,3.990988915497348,12385.714285714286,29.384664,0.0,42.210435779007945,1170.0,3.092409016682421,2885.714285714286,2928.5714285714284,3214.285714285714,1.3334369999739977,True,LOG00002,Idle 35,42.005249,43.005249,36.29082840236686,7.108147719907739,12.559748972319998,24.20856015779093,90.0,3.4121335863412803,7.506972386587771,15362.450690335305,8471.42857142857,0.0,0.0,6.442145722078088,6.316321686125073,1.3818779399350125,6.407108153477044,6.385443060430527,1.3851316044039643,0.5071819543768169,0.5520387973534138,0.12941211112913342,0.6348153793448187,0.5908947150188204,0.33501974499755127,3.204385238889163,3.1044296824185396,6.659941586235026,3.3475027110038194,3.4808378380457445,14.416220592567596,16.32183711669447,6.379543915794562,14.44847005434485,42.277914,0.19822485207100593,3.3475027110038194,3.4808378380457445,8814.285714285714,41.955249,0.0,38.25361439251211,943.0,7.068109917435276,2914.285714285714,3428.5714285714284,3514.285714285714,1.2870479999934332,True
LOG00007,Idle off,44.931946,45.931946,37.05276134122288,4.649095611850841,11.949057056374306,23.840394477317552,47.0,2.9798864193207097,9.273757396449705,16559.354747816284,10271.42857142857,0.0,0.0,6.169549055496781,7.212149943591199,2.09638152186139,6.169446752714757,7.096220424332371,2.070284558036895,0.4593678214326388,0.4980326242292875,0.2146021147667352,0.5579920005944463,0.6363839775734214,0.5074466767078314,3.562989963110656,5.068282749732901,10.337316741366402,3.0579359480805186,3.781982523050551,16.97088236145171,16.050124886608813,6.711126669830627,15.245881608820238,45.177918,0.3155818540433925,3.0579359480805186,3.781982523050551,11900.0,44.881946,0.0,29.18142282762203,170.0,1.165822075350223,3085.714285714286,3128.5714285714284,3271.428571428572,1.387721999972939,True,LOG00002,Idle 35,102.270862,103.270862,37.60936883629191,14.987166798136428,10.012590098390909,23.22183431952663,90.0,6.851465117959736,7.731420118343194,15167.83953226261,10085.714285714286,1.3806706114398422,0.0,5.514047687355794,6.732355502689702,1.455251479874101,5.624610273986275,7.139712990161802,1.9013518953583999,0.9865517837895525,1.9164945846569823,1.3512842709759985,0.6879464009344625,0.6728442376044278,0.4044203055462975,5.220142888078719,5.540872023544059,4.6824047277557375,3.157136357907305,3.334616363784727,11.336436516798756,15.370474270169442,6.153427196003465,15.682166226729143,102.339249,0.15581854043392504,3.157136357907305,3.334616363784727,10400.0,102.220862,0.0,30.489617168794965,113.0,1.3363269439040837,3400.0,3457.1428571428573,3542.8571428571427,0.9751559999950246,True
LOG00007,Idle off,123.881097,124.881097,29.701775147928995,5.291233940411579,18.5696090961129,23.20575936883629,106.0,2.512126551340872,6.298678500986193,13882.39997182305,9100.0,0.0,0.0,6.068164898091465,5.552526494004121,1.194820925845968,6.117823289515468,5.46347266185674,1.1948209258897458,0.4717205113516257,0.4556967810885682,1.3678042023746503e-09,0.5859631725703137,0.7570470140980872,0.4831983651118637,5.109465909589474,8.935946496024433,7.605559360327232,3.2193647812655755,4.689444682465062,14.023402530785242,14.82461570393077,5.816062916485996,11.752175044608316,124.249379,0.2869822485207101,3.2193647812655755,4.689444682465062,9960.714285714286,123.831097,0.0,41.74900076138334,883.0,6.183024280807052,2828.5714285714284,2859.2857142857147,2942.8571428571427,0.6356279999876051,True,LOG00002,Idle 35,49.965129,50.965129,33.22455621301775,12.981793446784092,15.876955045574087,23.90962524654832,26.0,6.167927776294796,6.188264299802761,14186.753310791772,8757.142857142857,0.0,0.0,3.6719912942262996,3.8094406924646895,0.8301741399171566,3.6962189407205535,3.568547837535944,0.9972692976804258,0.7157495712885297,0.6507420233585693,0.7968623871684757,0.4240749865832508,0.5388509270860888,0.31403051949790495,3.014216275600455,4.697414089541774,4.829257364154712,1.749112963138249,2.52947730613037,5.7342529421655035,8.55657584189301,3.741347247602098,10.518968072323302,49.978274,0.08678500986193294,1.749112963138249,2.52947730613037,9142.857142857143,49.915129,0.0,40.433488650044275,943.0,5.354592438725867,3400.0,3457.1428571428573,3528.5714285714284,0.9425849999951907,True
LOG00007,Idle off,126.600931,127.600931,31.15276134122288,5.739220001110647,13.332582200917354,23.012820512820515,92.0,2.2922808315463987,6.5229585798816565,14257.090025359255,9114.285714285714,0.0,0.0,5.400539969167124,3.841228902344672,1.1512309407375998,5.300057623723701,3.8501305565834447,1.2388743732878222,0.6289667138354313,0.487380163616734,0.758560481193722,0.4901991466780687,0.6011228170063688,0.4038895343369773,5.041609363840828,6.238120515761271,7.599193820280651,2.4816613590078296,3.4904876182332827,12.22601100799655,9.780933834080807,4.686196295439388,9.281146371582862,126.714694,0.1163708086785009,2.4816613590078296,3.4904876182332827,9818.57142857143,126.550931,0.0,32.15008464366811,1170.0,7.011137157748823,2585.714285714286,2928.5714285714284,3300.0,0.6830039999866813,True,LOG00002,Idle 35,87.573019,88.573019,33.368737672583826,13.448864326067364,11.878681052513603,23.63358974358974,93.0,6.424469491007837,6.1956410256410255,13960.097914905607,8500.0,1.0848126232741617,0.0,3.6780590249572893,10.348285942903125,0.8579429388724266,3.7146282980151923,10.275391512662814,0.8553222992428113,0.6201347707967771,1.5386754561263227,0.2628523760991211,0.47362717518768477,0.5279093635373495,0.3276974870348637,3.4730020824114805,5.820473389583564,4.67671713409595,2.033854848202209,2.6881249260142366,9.031994413025458,20.233669481105284,7.765794877124824,27.171454392487664,87.598985,0.12130177514792899,2.033854848202209,2.6881249260142366,8914.285714285714,87.523019,0.0,33.10641594801737,943.0,7.734369250979358,3242.8571428571427,3428.5714285714284,3528.5714285714284,1.3294889999932167,True
LOG00007,Idle off,177.556172,178.556172,29.553747534516766,4.975744000880339,20.56885667155648,22.82092702169625,142.0,2.090914272030529,6.014753451676529,13585.883347421808,8971.42857142857,0.0,0.0,2.4315747561009737,2.090044955800784,0.906072166110118,2.585838814722868,2.077685522563789,0.8459699627899298,1.6434061485820246,0.8770636452977718,0.3873014471131311,0.5169746492617364,0.6298310570801954,0.4079012239119892,6.599415981212145,6.796394502305246,10.275117322053156,2.619213880928368,3.574606251258557,9.046613890273225,7.860281398820214,2.267249844169783,4.303267966952943,177.807071,0.0,2.619213880928368,3.574606251258557,9518.57142857143,177.506172,0.0,13.622705688279163,934.0,1.7877660326627545,2942.8571428571427,3028.5714285714284,3214.285714285714,1.3985789999727274,True,LOG00002,Idle 35,110.397235,111.397235,34.73264299802761,16.16822649046297,30.541124263980656,23.193106508875736,76.0,6.818999733272155,6.522011834319526,14114.387855734007,8885.714285714286,0.0,0.0,4.281612751647488,3.797457011917933,0.8355475344253434,4.615009004278872,3.8591275740930713,0.8995461828946856,1.8507343854870055,0.940560444588176,0.5024998946854993,0.5546417601359018,0.5654950190492484,0.3097333074749611,4.187140158405781,5.013411101152813,4.133208619664977,2.1638577516341435,2.5458166454057145,7.889398174150919,8.30217052962408,4.046781901241717,10.22054695522885,110.458719,0.1252465483234714,2.1638577516341435,2.5458166454057145,9114.285714285714,110.347235,0.0,18.401193875253178,943.0,2.6316328717027364,3142.8571428571427,3428.5714285714284,3571.4285714285716,1.0097009999948483,True
LOG00007,Idle off,182.80065,183.80065,30.056508875739645,7.979937370388664,17.98755776055604,22.70657790927022,107.0,2.9590773967561725,6.470463510848125,13571.32290786137,7814.285714285715,0.0,0.0,3.914694583707549,3.052397592665095,1.1451171338232615,3.84637822266548,2.991928837764493,1.13005363891994,0.6154212308468128,0.5823525581637717,0.1757573629082192,0.7785200465415689,0.7726578265153438,0.5632726365047186,5.5292540030651125,6.574707370044891,7.8677380772944305,4.2340828460121545,4.798112106494906,13.079675426791637,11.98095958197552,3.5101256920099675,5.284896860460882,183.378089,0.0,4.2340828460121545,4.798112106494906,8142.857142857143,182.75065,0.0,45.14005178065828,786.0,3.299770078452163,2928.5714285714284,2985.714285714286,3071.428571428572,1.1834129999769232,True,LOG00002,Idle 35,183.731347,184.731347,36.9300788954635,13.506771352931214,15.911744428137657,22.48834319526627,42.0,4.801139675383428,7.862455621301774,14550.714990138067,8185.714285714285,0.0,0.0,2.9533118834633747,3.7751076793427525,1.4814768605971005,3.1907694076816284,4.39895249999285,1.501588304020701,0.6921585462150153,1.53952374688478,0.2268491859493252,0.4316581666791539,0.5409018767850483,0.3152419580570655,3.911894626686283,4.452458935142626,4.377920040807047,1.8587716367095835,2.8639524578566924,7.554861804403122,9.834177411705136,3.389210016481611,8.146554317784274,183.751392,0.02564102564102564,1.8587716367095835,2.8639524578566924,8628.57142857143,183.681347,0.0,41.25626256092105,943.0,5.6568970073086,3242.8571428571427,3428.5714285714284,3514.285714285714,1.3541639999930908,True
LOG00007,Idle off,244.253174,245.253174,31.264497041420118,8.514905245204075,50.710328975319655,22.43504930966469,156.0,2.7442327626463583,6.581341222879684,13821.382783882782,8785.714285714286,0.0,0.0,1.2746487616951525,1.4720693826122695,0.8325885506936573,1.4964937690361984,1.7781494727640663,0.8416443458634271,0.7497580899029612,1.0642375078199733,0.7720991623144737,0.3588112283485168,0.5022588704662666,0.3251147503384423,4.106024177469495,7.114663946365974,7.585890218896675,1.5728067512805035,2.714258136918037,4.133497165423976,8.493238986468137,1.3769019088002332,2.79657142238686,244.253488,0.0,1.5728067512805035,2.714258136918037,9785.714285714286,244.203174,0.0,33.24584195023325,80.0,7.153031820787761,3285.714285714286,3328.5714285714284,3485.714285714286,0.4017089999921666,True,LOG00002,Idle 35,324.215151,325.215151,29.315779092702165,3.392968645203502,44.83260858370309,22.111548323471396,92.0,2.3786652040427176,4.715128205128205,11800.095097210482,6528.571428571428,0.0,0.0,1.5070071714512576,1.5567215280235565,0.7872925783038536,1.538169156199912,1.6734382385611088,0.7443244587394552,0.5695092022564514,0.7781322454233571,0.38673738987626904,0.39762473070185705,0.5169953230842304,0.33454650975443717,4.776308600012768,5.778597883365787,4.431019490584471,1.749762100471815,2.985625914800742,5.05033832131703,5.769572639443462,1.5320660120597804,2.262694112192422,324.722566,0.0,1.749762100471815,2.985625914800742,8214.285714285714,324.165151,0.0,40.70201736668947,104.0,5.865886396661325,3314.285714285714,3428.5714285714284,3500.0,0.5833169999970238,True
LOG00007,Idle off,283.472546,284.472546,48.56804733727811,19.7315340665908,16.756928576152646,21.89075936883629,104.0,6.525487538828039,12.51173570019724,18025.190194420964,11400.0,10.256410256410255,0.0,2.6281568569851514,4.651169035091671,1.0869092694710891,2.5094839028346456,4.34170814237971,1.1185194414320692,0.4631904738105304,1.256893066386779,0.3853267685345649,0.6288754237136761,0.8838059334701979,0.5164020734942646,3.519302302489429,5.158089124294716,9.249996054931984,2.735612520050964,4.354778757866035,6.132816632038583,10.479998795489038,3.777603860776933,10.33436958967496,283.562637,0.141025641025641,2.735612520050964,4.354778757866035,12985.714285714286,283.422546,0.0,21.826016873034813,845.0,6.684410308416491,2971.428571428572,3000.0,3085.714285714286,0.9386369999816964,True,LOG00002,Idle 35,239.97938100000002,240.97938100000002,43.98836291913215,17.969708861594263,13.143910346052573,22.062988165680473,111.0,5.565276021152938,10.446873767258383,16242.843054381518,7685.714285714285,0.591715976331361,0.0,4.31598848252752,10.03047834720913,1.5267920400152282,4.334863769167344,10.086446528790177,1.3395866669641743,1.2490506934513776,1.0135357326814458,0.5883655160777181,0.5535693835933333,0.6753354307211211,0.44251931047968196,3.3259062188993687,5.753731503323129,5.927649507003571,2.499014382419202,3.369536993367721,10.517947467776745,19.83295625584229,7.72134225556481,25.770221257247414,240.028039,0.15680473372781065,2.499014382419202,3.369536993367721,8361.42857142857,239.929381,0.0,31.75389440858542,943.0,2.85557649881407,3128.5714285714284,3428.5714285714284,3514.285714285714,1.4193059999927584,True
LOG00007,Idle off,285.85113,286.85113,35.859664694280085,7.271199047458907,15.362395488549504,22.052869822485206,103.0,2.913720732173287,7.805522682445758,15106.033389687234,10200.0,0.0,0.0,4.184236519369596,3.3877136724329846,1.0990199663895803,4.081732066362058,3.3204167704671086,1.1043312007383677,0.4092853685640696,0.6785816778282306,0.0955084425754041,0.5160685409685589,0.6054338350067467,0.3880473388105505,3.957024383109569,6.507153109719199,9.46091802352264,2.597854684160834,3.4930057614427725,9.764838503831855,10.38722664225414,3.806864797731563,8.791147144815563,286.285531,0.0759368836291913,2.597854684160834,3.4930057614427725,10614.285714285714,285.80113,0.0,30.794693288028757,902.0,6.525487538828039,2900.0,2928.5714285714284,3000.0,1.1182709999781937,True,LOG00002,Idle 35,209.125762,210.125762,33.67357001972387,8.330578144725212,11.155791579175276,22.404861932938854,62.0,3.357351252427229,5.97370808678501,13733.572837418991,7042.857142857143,0.0,0.0,4.0421558211405735,3.7383442635458795,0.8335047772555393,3.893029281587467,3.9674967829881904,0.8645209650825209,0.5638059797020971,1.0404578112727136,0.21418813305133624,0.38145429936053143,0.4996653338425818,0.3073195073989127,3.4386821925903788,4.441030224839478,4.632968790499633,1.6394065081439495,2.5263645282770297,8.048791056757851,9.209858794455357,3.893214707357339,10.917003224179986,209.126078,0.10650887573964497,1.6394065081439495,2.5263645282770297,7514.285714285715,209.075762,0.0,23.468386437258864,943.0,7.124145858162509,3057.1428571428573,3428.5714285714284,3528.5714285714284,1.2890219999934232,True
