file,group,start,end,th_mean,th_std,speed,voltage,sp_max,acc_max,current,rpm_mean,rpm_min,motor_top_pct,motor_bottom_pct,shake_err_roll,shake_err_pitch,shake_err_yaw,shake_gyro_roll,shake_gyro_pitch,shake_gyro_yaw,shake_sp_roll,shake_sp_pitch,shake_sp_yaw,high_gyro_roll,high_gyro_pitch,high_gyro_yaw,high_raw_roll,high_raw_pitch,high_raw_yaw,high_D_roll,high_D_pitch,D_roll,D_pitch,shake_combined,shake_peak,shake_peak_t,shake_time_gt8,raw_hf,gyro_hf,D_hf,motor1_rpm,motor2_rpm,motor3_rpm,motor4_rpm
LOG00011,Idle 35,6.5,7.0,24.96324110671937,1.0553611342501348,40.17659499039619,24.21788537549407,54.0,0.996934722737726,3.56699604743083,11444.649915302087,9442.857142857143,0.0,0.0,1.0060614991605505,0.6801165218159213,0.7583479003923576,1.2372608198795363,0.6944099644515086,0.8211089249449058,0.7712912914974416,0.4067093437058975,0.7897932108528156,0.25312371744343665,0.26748556715881305,0.2654487321169727,6.553242913051357,5.87887710892309,3.1612546102224957,0.7507360475918674,1.0858989202151483,3.038293155118954,2.505724670925003,0.8586961695908981,1.202734370728964,6.910319,0.0,5.400608590703173,0.26209614924881103,0.933483014863764,9948.36250705816,12348.02371541502,11624.167137210616,11858.046301524562
LOG00011,Idle 35,7.0,7.5,29.27179487179487,1.8891189866426155,45.25804105363699,24.321755424063117,49.0,1.6046464953806272,5.336055226824458,12985.059171597633,10042.857142857143,0.0,0.0,1.0954239226321962,1.0809564235933493,0.7554377193270508,1.0070241474075343,1.027465572014682,0.7048318490468022,0.6976122322573712,0.563101213955212,0.5768287142852206,0.2900469470912679,0.32454073640690523,0.24291670942037427,4.174471634773946,4.777175703012536,3.2069817827592537,1.0681602547536155,1.2441869265656385,3.049557797671856,3.6246471636759328,1.0882142160398918,1.3781847315732119,7.159994,0.0,4.104158593505506,0.28778605990105666,1.1595187445815953,11296.506058044519,13859.05888982812,13306.142575373344,13478.529163144547
LOG00011,Idle 35,31.0,31.5,34.459486166007906,0.49555228582909255,49.51190722530905,23.851047430830043,97.0,2.4752339069539513,6.592173913043478,14555.011293054771,8557.142857142857,0.0,0.0,3.7451660394826227,2.39092889000554,0.9443833431301134,3.9688581087119315,2.310507110321431,0.9421228099973137,1.0324477015948932,0.5289829986712138,0.6299405148342542,0.4978205964478583,0.528732293618228,0.37932772447597596,2.440805738980097,3.5097700238108955,4.249534649498846,2.463754107569966,3.146999857978164,10.192029746607455,8.595315389228961,3.141879184529305,5.052192744701798,31.18724,0.0,3.480161060102966,0.4730301988663497,2.8261008836100023,10113.297571993226,15256.662902315076,14529.418407679277,18320.666290231504
LOG00011,Idle 35,16.0,16.5,31.528007889546352,3.3922240491951228,26.95079682855124,24.05652859960552,93.0,2.1458123832593494,5.703530571992109,13676.465201465202,9342.857142857143,0.0,0.0,2.637758051626384,2.0480118809338332,0.8728533526228563,2.951052196360909,2.059271999694933,1.0457230215503184,1.3197681935592105,1.0982673967132859,0.7904119119135156,0.39706462290564704,0.4319785260927849,0.2698920995897424,3.781177383132998,3.7875684350987013,4.102901170816725,1.7980307713210382,2.544219349742954,7.791412862788243,6.39017366952004,2.36136826896674,3.904998950032286,16.324005,0.0,3.8934464197658176,0.3728750940057799,2.2029487913049404,11798.196675119752,13272.781065088757,14276.782192166807,15358.10087348549
LOG00011,Idle 35,17.0,17.5,33.98754940711463,4.151515643338827,25.313075846504628,24.178952569169958,73.0,2.595575173053824,6.300256916996048,14691.085544889893,12314.285714285714,0.0,0.0,1.0050793005590006,1.4179999738055789,0.6954427014358601,1.0080841807837218,1.8099938601329724,0.6947225021850608,0.5160134044445842,1.2605890259677033,0.011176423387963878,0.30994564447876416,0.37239903414138475,0.21830965564160845,2.942278330938135,3.141794949566832,3.498305005283857,1.1326040184503388,1.8993452320167838,2.72087523700297,6.083087420806145,1.22900535518052,1.7301625773205476,17.20512,0.0,3.202395727775578,0.3068150631391003,1.5636982082541926,14470.496894409938,14857.707509881422,14070.694522868436,15365.443252399773
LOG00011,Idle 35,11.0,11.5,31.835502958579884,4.536044759984948,21.838117108018867,24.01721893491124,40.0,2.459360446911109,5.795818540433924,13647.154127923359,11514.285714285714,0.0,0.0,0.9434468160071007,1.0657593540412935,0.6416845038716431,0.8106829501739021,0.9841557419722888,0.6999244620041156,0.2725252131367852,0.7596880079258697,0.5545576542986412,0.2861981813003362,0.33327386291982214,0.2454870769692809,4.33394169885752,4.515063143102883,3.069807966921448,1.0367738545749012,1.5349534144242007,2.318351451285272,4.0509574683346665,1.0064628396916726,2.22360249678274,11.499874,0.0,4.024614548379199,0.2905424648504026,1.3097675385316685,12939.701324316708,13960.298675683292,13525.105663567201,14163.510848126232
LOG00011,Idle 35,10.0,10.5,28.88875739644971,2.129517320442967,24.584065179226812,24.134714003944772,75.0,1.7139279085797967,4.713353057199211,12797.224570301494,8657.142857142857,0.0,0.0,1.7988673877800296,1.5424985554245687,0.7002003808977715,2.312722474757743,1.6414482686796719,0.8968686396680337,1.3724189858574896,1.1912646995522456,0.5062512670315438,0.3401229160454895,0.380836400794406,0.27667334188874587,4.8076168677430315,4.0017560230559965,3.413286494260109,1.3399954951729607,2.1356153706125087,6.424036470626306,5.071481154903022,1.6755932788575856,2.455127283497348,10.39767,0.0,4.114112132119991,0.33529494493714596,1.7827564245123655,10660.664976049591,12435.728374189912,13542.969850662159,14549.535080304311
LOG00011,Idle 35,6.0,6.5,26.804930966469424,1.9268668667700082,35.23153654324139,24.375226824457595,57.0,1.2190588535311997,3.9471005917159765,12323.309382924766,9700.0,0.0,0.0,0.9064258399332739,1.0498293836094845,0.6226517387327436,0.9941218311102548,0.993953598038924,0.7377631061268143,0.6137079252616852,0.86035326402892,0.33763986059846934,0.2496508001833205,0.27933335576346596,0.2136282297563969,5.997275291256449,5.792812173221742,3.2807335148663235,0.6799309819832329,1.049052253176621,2.7685184268989245,3.807498052542948,0.9807521445269975,1.5762654370437366,6.016223,0.0,5.173238707969707,0.24899107495591294,0.8839730680726725,11562.721893491123,12888.813750352212,11837.137221752606,13004.564666103128
LOG00011,Idle 35,8.0,8.5,33.479644268774706,0.8175451734365794,54.078647894628205,24.252193675889334,63.0,1.9164982459112272,6.060375494071146,14462.56352343309,11457.142857142857,0.0,0.0,1.2096298403675052,1.0834190558561936,0.9834716216328612,1.2302986207346638,1.131392797149523,0.9670566079036982,0.7513303972615937,0.7402555534822769,0.7631754976410114,0.31796212105115546,0.36631990229930916,0.26614255317927127,2.9971660622193674,2.290424456891499,5.030338509749098,1.3111163899330598,1.7594893114636005,4.3320662990047065,4.704929716410612,1.1482598140882232,1.5656333979294232,8.41228,0.0,3.6301218583729407,0.3194380690403625,1.5515844845037852,12301.919819311124,15322.670807453418,15489.102202145681,14736.561264822134
LOG00011,Idle 35,15.0,15.5,29.841106719367595,2.119374665508838,45.285918018119126,24.10126482213439,101.0,1.718819772864676,4.984723320158103,13244.226425748164,9571.42857142857,0.0,0.0,0.9771709587567786,1.073772495530793,0.8287876714192441,1.013131276738954,1.1461218454426616,0.9537868260484819,0.551982859854803,0.5819964989565192,0.7404660443804089,0.33209303971009635,0.36132247602819184,0.2706011089691978,3.5298980325677785,3.955769439081564,3.7474096954755334,1.331113245791977,1.678930913097123,3.40018599816751,4.2183487768512045,1.0266086047749816,1.6219615114257644,15.001859,0.0,3.748393940576043,0.323555600004283,1.5150365480865458,11183.060417843026,13738.4246188594,13947.346132128743,14108.074534161491
