file,group,start,end,th_mean,th_std,speed,voltage,sp_max,acc_max,current,rpm_mean,rpm_min,motor_top_pct,motor_bottom_pct,shake_err_roll,shake_err_pitch,shake_err_yaw,shake_gyro_roll,shake_gyro_pitch,shake_gyro_yaw,shake_sp_roll,shake_sp_pitch,shake_sp_yaw,high_gyro_roll,high_gyro_pitch,high_gyro_yaw,high_raw_roll,high_raw_pitch,high_raw_yaw,high_D_roll,high_D_pitch,D_roll,D_pitch,shake_combined,shake_peak,shake_peak_t,shake_time_gt8,peak,score
LOG00001,Default,234.25456200000002,234.654562,25.078518518518518,7.04972166705824,22.478120596340247,22.351061728395063,175.0,3.412452929385221,4.67795061728395,12452.751322751323,8985.714285714286,0.0,0.0,11.988156780430858,1.3148375386440636,1.098012535706968,12.994202737696792,1.128655884532297,1.085896611836512,5.361654198044364,0.5518497962765935,0.9015354807457431,0.3289367124797616,0.7220599713936319,0.33210312948531856,3.5232136890708743,6.716891190630101,4.752984913065472,1.1206658592843182,3.764970849012907,24.469482126836187,6.659069745583328,8.527740050717362,17.673937632237013,234.454562,0.7308641975308642,234.454562,17.673937632237013
LOG00001,Default,216.629734,217.029734,36.09481481481482,4.334358599825271,30.287165043011107,22.34367901234568,86.0,2.493281539856732,8.596444444444444,15080.21164021164,7785.714285714285,0.0,0.0,6.011127195194121,12.942975037153726,2.438362544917992,6.249722612273266,13.118306245711382,2.438489514029451,0.6991556755551479,1.4746968796638222,0.019843009989182803,0.7664558514726962,0.9934837681048824,0.5714841703982916,3.9199175234265518,5.915876803966558,6.665277649241995,3.781137447976557,5.803537963725058,16.025134578892153,26.185237571323782,10.090942794634872,16.531180291975392,216.829734,0.8493827160493828,216.829734,16.531180291975392
LOG00001,Default,81.806264,82.206264,56.09950617283951,18.519847205008887,14.416192943456581,22.8921975308642,72.0,6.608126078174142,16.925703703703707,20363.165784832454,9357.142857142857,0.0,0.0,8.606034547291213,10.711974981987458,1.8979823156617197,8.66409230152636,10.730597635904507,1.9938305839288115,0.358487279847912,0.4043478551565092,0.6991321787601634,0.9442665485824658,1.222262526470415,0.6546935652769111,4.759229809484392,7.076107713451037,6.3887233837747255,4.54447356265528,6.576161311633213,19.128803180311913,22.019968491023757,9.716229686557824,15.764612079142827,82.006264,0.5407407407407407,82.006264,15.764612079142827
LOG00001,Default,22.814595,23.214595,28.610123456790124,4.354724550495053,46.90737473254782,24.250370370370373,158.0,3.0924148761255763,6.571333333333333,14154.294532627866,9985.714285714286,0.0,0.0,10.353665004580133,6.464824337402251,1.9387910313019345,10.288412285079179,6.5904383895040795,1.7215372182839646,0.612809219896593,0.4734416827255956,0.871395363510117,1.044931203045453,1.0074976918516838,0.6978012751746197,7.159075184899433,7.591416110741949,6.467586681049788,5.518801895491078,5.8199324098757,25.934675772166642,18.70901281451876,8.631116171751362,14.80867174440632,23.014595,0.8098765432098766,23.014595,14.80867174440632
LOG00001,Default,30.761956,31.161956,42.11703703703704,3.520638425705512,33.44974551605841,23.99424691358025,103.0,3.776014028864598,10.936271604938268,18199.858906525576,13428.57142857143,0.0,0.0,9.896479422286408,8.624383659010997,1.8084496807661024,9.858294416129839,8.693433313221506,1.7716024443990879,0.23357852096148637,1.1918840638184802,0.3738748478200118,0.8505656431780785,0.9882379727827649,0.668456150899917,2.871453310248325,3.3822594914536595,8.83960872394611,4.42467164784745,5.818756814454149,22.422816862503755,21.916170252088264,9.282249146988953,14.147020096245678,30.961956,0.7012345679012346,30.961956,14.147020096245678
LOG00001,Default,225.023368,225.42336799999998,22.58888888888889,3.93207764011613,29.041757191361263,22.415876543209876,127.0,1.5435056114576708,3.896641975308642,11527.380952380952,7571.428571428572,0.0,0.0,8.837964140679771,1.2305082373784717,1.1204884030479734,9.387710715239514,1.1909720269894872,1.0816517490930118,5.294719118045928,0.5903891884590485,0.963357061532576,0.4707116639184256,0.5525197093004933,0.38112485553679804,4.9078535480591885,7.369399208745268,4.054862059704312,2.069474802681754,2.8452491489607725,18.31999514798577,3.8809442659051068,6.30966562799479,13.719747319952653,225.223368,0.4271604938271605,225.223368,13.719747319952653
LOG00001,Default,80.536577,80.936577,16.803456790123455,2.2061055348393817,34.79917537618763,23.536074074074076,169.0,1.3082064382807868,2.976839506172839,10009.082892416225,5500.0,0.0,2.7160493827160495,8.116007894093796,2.1037033790367468,0.9462597271457648,9.235823197673128,1.8585654716016369,0.941499103347206,3.4965966080319895,0.9172848866090316,0.6687296397894258,0.3492635572645039,0.549323548079617,0.35119907656883576,3.9980338164597753,7.0429112538157295,3.3690977985096655,1.3017346336078162,2.646342623550387,17.39391123779089,5.1732932415399535,5.928539113641886,13.182152189780446,80.736577,0.41728395061728396,80.736577,13.182152189780446
LOG00001,Default,50.214197,50.614197000000004,35.531851851851854,6.196259148457417,38.49069326217808,23.845061728395066,124.0,3.1070417918601216,8.926962962962964,15837.954144620813,9500.0,0.0,0.0,9.409824563055324,7.572505505067168,2.3523088713073226,9.285839039247808,7.254549900108357,2.3520042256504547,1.3715058179104083,1.622308214037069,0.010179568888122516,0.7765222913420187,1.053917966031303,0.6178254704831355,3.770524892062561,6.3931114391168204,8.869818696277484,4.010113735866413,6.03110128917135,23.60037664482874,18.136383185787853,8.540715366166696,12.941942067804911,50.414197,0.6790123456790124,50.414197,12.941942067804911
LOG00001,Default,206.941857,207.34185699999998,27.140493827160498,5.590630588173277,9.73933951936687,22.482691358024695,148.0,1.9531600338654804,5.396345679012346,12828.509700176368,9114.285714285714,0.0,0.0,8.788673548191989,2.874246842920769,0.6632959256447849,10.153637976798098,3.922394871056964,1.1764264842335506,4.755524339980813,2.500094686484879,1.0020808899324984,0.3574472197884014,0.5792286989551306,0.3526411241340604,4.924696861928391,7.216281006190329,4.669291611547167,1.4450723246720847,2.9631013705518994,22.93555114168481,8.950481054731702,6.538427855789552,13.873088312655328,207.050109,0.3925925925925926,207.141857,12.765827740241445
LOG00001,Default,135.059729,135.45972899999998,39.05283950617283,6.565331549659756,66.37982059628082,22.8899012345679,106.0,2.014693052137182,9.364666666666666,16574.894179894178,10828.57142857143,0.0,0.0,7.1835742485435246,1.7330746702677355,1.0127322145794488,8.374920183867152,1.7220274272422174,1.3393032865979848,3.012035665413563,1.0070887681707754,0.9037955846671596,0.42109893589000297,0.49839936136628,0.3778999120204186,4.311745401041478,4.756947243129807,8.442415390568364,1.807966347723993,2.5974612712404173,16.457052223932283,5.53730335046417,5.225288833981396,11.583405432078685,135.259729,0.37777777777777777,135.259729,11.583405432078685
