file,group,start,end,th_mean,th_std,speed,voltage,sp_max,acc_max,current,rpm_mean,rpm_min,motor_top_pct,motor_bottom_pct,shake_err_roll,shake_err_pitch,shake_err_yaw,shake_gyro_roll,shake_gyro_pitch,shake_gyro_yaw,shake_sp_roll,shake_sp_pitch,shake_sp_yaw,high_gyro_roll,high_gyro_pitch,high_gyro_yaw,high_raw_roll,high_raw_pitch,high_raw_yaw,high_D_roll,high_D_pitch,D_roll,D_pitch,shake_combined,shake_peak,shake_peak_t,shake_time_gt8
LOG00001,Default,6.5,7.0,23.055818540433922,7.047168544016985,19.42246316777216,24.946449704142008,87.0,2.6642714611448013,4.121755424063116,12843.913778529162,8785.714285714286,0.0,0.0,0.810082566311877,1.6137778596965338,0.599336429127952,0.9504439917318973,2.03834332206565,0.5993364285504253,0.45377442850710237,1.2257306075544259,9.53125105203253e-09,0.22635329069019863,0.39634312653881726,0.2365394700153208,3.843804739832163,7.2990380072400995,7.190518136978884,0.6692314245429393,1.7095633971814512,1.931264621297492,7.767199531372796,1.2768149326917284,2.3696197116952424,6.6594,0.0
LOG00001,Default,7.0,7.5,19.146640316205534,3.651167794272391,25.645346368554062,24.93140316205534,44.0,1.162987539131145,3.4781027667984183,11146.118012422361,8600.0,0.0,0.0,0.5515752577643728,0.8519325633919428,0.39634938378595447,0.5551178873732381,1.081122233122671,0.39626308551381445,0.02419951678024357,0.6606895774056639,0.0007287720667061445,0.21542462829241218,0.491093588567876,0.21830666582900918,4.84071149343107,10.127999205092717,4.026776689663806,0.6378858392618302,2.2869350274847666,1.2158375177486576,3.649137642457028,0.7176434900232153,1.1554109242879456,7.367961,0.0
LOG00001,Default,7.5,8.0,23.101183431952663,2.3862026520248096,34.73528209161933,24.78069033530572,127.0,1.437675548283394,4.567830374753452,12562.876866723022,8371.42857142857,0.0,0.0,1.2617209647597982,1.060959183495467,1.3452633263572316,1.4420141167458533,1.1129193391928391,1.3948118009355372,0.9252306829715515,0.5838060286626953,1.3375916603829547,0.32893599533736273,0.6140866078559618,0.3227552303238841,6.184616631506427,9.100197875581816,5.753043181529642,1.211876877907308,3.223235086712364,5.261973291373888,5.156333115999762,1.1656702325181347,2.035297782682109,7.894941,0.0
LOG00001,Default,8.0,8.5,25.80138067061144,1.6958058446016029,44.36204320835546,24.850433925049305,117.0,1.7952787523940696,5.255009861932939,13597.048464356156,7628.571428571428,0.0,0.0,0.9636287250094328,1.192156574957022,1.0146568249662649,1.018100450421175,1.2633982442256189,0.8817729490183591,0.420349555964872,0.5740391966518766,0.6617467223253697,0.3248161181599113,0.5627297185249108,0.3032263210238029,2.415539255717473,10.063776171979812,7.989771169048099,1.16721867256679,2.9162398386319293,3.619746414124075,4.868082256091305,1.0839321055482587,1.6808085901805223,8.492963,0.0
LOG00001,Default,8.5,9.0,23.9395256916996,0.5413887247775121,40.962627134421254,24.928003952569174,123.0,1.9613044668965312,4.653458498023715,12846.93675889328,7628.571428571428,0.0,0.0,1.333554359157151,1.6578567703986373,0.775916296021371,1.3782748172136878,1.5876639211833647,0.8579486978584713,0.5971651975436956,0.5509798931737555,0.4789465968487139,0.44529631350768906,0.6210378926869063,0.518919759371261,6.371606273406638,9.541649221121148,15.927665085787979,1.7623908265743082,2.9398338549027963,4.0187308479740835,5.482995632564316,1.5044693915104483,1.8864649262946778,8.812687,0.0
LOG00001,Default,9.0,9.5,18.07593688362919,1.9342783669239678,23.556219699694548,24.82723865877712,127.0,1.7706329082685395,3.1887376725838266,10734.368836291913,7571.428571428572,0.0,0.0,1.417730764304113,0.8323883451213533,0.629918564017767,1.343999839119706,0.7924956428838771,0.7100803135778959,0.6863769047344875,0.29064607024854944,0.48846157492999775,0.34621620756062993,0.5312643249342397,0.34818802998833615,4.295036885998993,8.810390243225273,6.545557787155733,1.257748395132686,2.630605815311576,4.0812748907330185,3.5191782257531923,1.1625039520681617,1.981126984597005,9.181742,0.0
LOG00001,Default,9.5,10.0,14.605128205128203,3.037291779591175,11.906408469240004,24.78463510848126,92.0,0.9448832648700936,2.6689940828402365,9573.774302620455,3800.0,0.0,4.733727810650888,0.7183009581021569,0.7339920854599983,0.6414448072584495,0.8257260800394903,0.7157174318217415,0.6614632858560345,0.6224145658939179,0.52522002354325,0.4157434220639412,0.25404284665963656,0.32290857917246124,0.2781034589703069,2.9326470115928505,5.694796714940916,2.4427011520052764,0.6520374819828928,1.4145394068839414,2.676141943208028,2.221022029610643,0.7261889037738024,0.9548700412723271,9.918864,0.0
LOG00001,Default,10.5,11.0,19.52721893491124,2.060124074076174,13.93120106000048,24.64846153846154,24.0,1.3573777884589855,3.5907100591715975,11299.422372499297,8414.285714285714,0.0,0.0,0.7087854251137866,0.7750206614149521,0.5953552876083671,0.8018084994777938,0.8194891282359421,0.5182303493364038,0.4290704462838219,0.44081551000875835,0.3213990627273917,0.29395666052546227,0.41704371184760286,0.23726467126506054,7.554273124569814,7.634820013975284,5.298616627435496,0.8343126788497413,1.9351234770041872,1.739436985245808,3.063431961806135,0.7426418398103496,1.2633796875150956,10.500081,0.0
LOG00001,Default,11.0,11.5,21.319723865877716,1.8687837184842553,21.708354224099654,24.683570019723867,49.0,1.4440784856806732,3.833412228796844,11965.067624683008,8885.714285714286,0.0,0.0,2.0441752909139552,0.6731485307926144,0.592715100285762,2.1727434186574874,0.6323651058462049,0.6925891516148431,1.377393559875399,0.3023889392355716,0.5000728377659376,0.2609976350869231,0.38501024664223454,0.26125189694961,6.3150881306993725,7.932709405679777,4.704141054641229,0.950810386425509,1.9382693666885609,4.6064015143322665,3.1622776601683795,1.5218051065250457,2.8713418455250888,11.475028,0.0
LOG00001,Default,11.5,12.0,16.88757396449704,0.3823825340155852,26.49646480896526,24.766646942800786,48.0,1.0294836696387448,2.991735700197239,10362.595097210482,7600.0,0.0,0.0,2.4346296087753827,0.7187897701424018,0.6408810336205104,2.364965070587383,0.6403568543586303,0.6380385032142926,0.8985935105533254,0.31524099459516286,0.3259315845914218,0.24319359768010518,0.35836243815477364,0.2577728796323815,4.140224452304469,9.652055924897098,5.708402914834869,0.6475100029938021,1.500246447286045,4.752036831022305,2.4068442841787716,1.795004187402796,4.343286964167287,11.604296,0.0
LOG00001,Default,12.0,12.5,22.562648221343874,3.209990596129515,28.126156639896358,24.772806324110675,43.0,1.801706601787472,4.623517786561265,12208.378035008469,7514.285714285715,0.0,0.0,0.8778262875524862,0.7924074339531246,0.6787102759738778,0.8530513972592101,0.7467614209077248,0.6764402258755403,0.3262888133354687,0.36191693123566077,0.40229207968249586,0.36625568908242234,0.535649705655748,0.2799974389013307,4.269931204507997,9.044444496379256,4.953777674028925,1.4083158510634453,2.674419243284844,3.0042788984388156,3.5945721047992336,0.8362082672702882,1.6671747330853666,12.499302,0.0
LOG00001,Default,12.5,13.0,42.3094674556213,11.969146278474863,27.756410355295486,24.31682445759369,65.0,5.803350199580493,11.277889546351084,18013.58833474218,12042.857142857143,0.0,0.0,1.660881394540554,1.7613883006600015,1.0764020461581163,1.6744405015900352,1.610872867649196,1.0228014234860772,0.2019315991985243,0.4714040615847009,0.3797640395025271,0.4341800518353302,0.6827583112945574,0.350368900076736,3.801255306808622,5.308359422485858,7.728113478060666,1.7975195514378342,3.461006839579609,4.273444444025635,5.8055268504963715,1.7118726226610586,3.3111830169163285,12.994658,0.0
LOG00001,Default,14.5,15.0,16.922287968441815,6.952314067943327,16.05939609989826,24.58909270216963,93.0,1.8124569854893846,3.358461538461538,9849.591434206817,3314.285714285714,0.0,7.495069033530571,2.3275048601778137,1.9206346318017402,0.6750106842974489,2.437279799005258,1.9235844177127324,0.6750255476875097,1.32382750094634,0.25780364270187206,0.0009183817129670016,0.42555873282081363,0.6056205786083916,0.3733335962877721,4.0688614133001035,7.201026089556002,4.111417140941476,1.7742067221053899,3.054308968914709,6.22348418685732,5.187414598522325,2.1337896174444597,4.298568068184318,14.980987,0.0
