file,group,peak_t,peak,decay_s,uncontaminated
LOG00001,Default,21.059032,6.033047270972508,0.2496280000000013,True
LOG00001,Default,30.961956,14.147020096245678,0.16278999999999755,True
LOG00001,Default,48.484504,9.484417187817828,0.29596599999999995,True
LOG00001,Default,50.414197,12.941942067804911,0.1726899999999958,True
LOG00001,Default,80.736577,13.182152189780446,0.12529100000000426,True
LOG00001,Default,85.249051,5.750097770383474,0.09174900000000719,True
LOG00001,Default,93.844825,11.120762062976377,0.4202669999999955,True
LOG00001,Default,112.557736,9.00931507744984,0.09175199999999961,True
LOG00001,Default,199.619658,11.435243082954793,0.38177500000000464,True
LOG00001,Default,216.829734,16.531180291975392,0.3166819999999859,True
LOG00001,Default,230.983881,16.54269577097852,0.04834099999999353,False
LOG00002,Default,9.86159,10.467458784383709,0.48051700000000075,True
LOG00002,Default,48.670207,8.373863860312394,0.10166600000000159,True
LOG00002,Default,56.432628,7.62826164154915,0.21211600000000175,True
LOG00002,Default,75.234566,8.167162614448744,0.14107900000000484,True
LOG00004,Default,6.750964,10.677187695809424,1.1337800000000007,True
LOG00004,Default,18.074375,8.293469450164537,0.13813299999999984,True
LOG00004,Default,121.065087,6.508024326045427,0.14008799999999155,True
LOG00004,Default,150.673916,21.313455449023685,0.21506400000001236,True
LOG00004,Default,197.445334,13.680286202686082,0.6501360000000034,True
LOG00004,Default,200.86769,12.093816056497559,0.4913049999999828,True
LOG00004,Default,245.725562,7.191899637654365,0.5139990000000125,True
LOG00004,Default,249.344252,10.28510385523141,0.7991079999999897,True
LOG00004,Default,253.187892,5.594446862182029,0.42520999999999276,True
LOG00004,Default,262.144005,6.198570221199962,0.29301400000002786,True
LOG00004,Default,303.812275,12.114655651533594,0.19730199999997922,True
LOG00004,Default,307.655732,14.931319793980137,0.4863510000000133,True
LOG00004,Default,315.949383,5.809477512360123,0.24268299999999954,True
LOG00004,Default,330.150392,5.685820735172526,0.11739799999998013,True
LOG00006,D 1.10,15.93499,13.14480616977189,0.6384029999999985,True
LOG00006,D 1.10,19.71008,10.15677105562109,0.30093499999999906,True
LOG00006,D 1.10,26.157896,20.779725668718072,0.1381300000000003,True
LOG00006,D 1.10,32.190179,29.72884145118096,0.48245399999999705,True
LOG00006,D 1.10,35.159889,12.662411867238262,0.09866000000000241,True
LOG00006,D 1.10,43.277536,6.890761303792461,0.13417100000000204,True
LOG00006,D 1.10,55.78598,17.15054432954696,0.7626029999999986,True
LOG00006,D 1.10,74.679642,7.462239395075678,0.22395600000000115,True
LOG00006,D 1.10,77.926463,7.678547480429866,0.2387470000000036,True
LOG00006,D 1.10,79.797981,7.3954285657468715,0.09668300000001295,True
LOG00006,D 1.10,82.163736,13.667910760101456,0.5899610000000024,True
LOG00006,D 1.10,88.392851,13.939702491091607,0.48242000000000473,True
LOG00006,D 1.10,92.559054,7.533040325563466,0.7004359999999963,True
LOG00006,D 1.10,104.790177,10.365795625804337,0.8257360000000062,True
LOG00006,D 1.10,198.265296,9.216726947921794,0.26045399999998153,True
LOG00006,D 1.10,201.726188,18.722454097103498,0.08287199999998052,True
LOG00006,D 1.10,205.322185,14.058237334195919,0.4528320000000008,True
LOG00006,D 1.10,209.294065,16.753597283464554,0.19533300000000509,True
LOG00006,D 1.10,212.655254,13.112582731980918,0.39955399999999486,True
LOG00006,D 1.10,215.860564,15.406026715610574,0.18744499999999675,True
LOG00006,D 1.10,225.26346,5.07471956523025,0.21211099999999306,True
LOG00006,D 1.10,234.713862,6.107394788629734,0.08977999999999042,True
LOG00006,D 1.10,252.075893,5.382294244875766,0.1489729999999838,True
LOG00006,D 1.10,269.658745,6.509997966755968,1.1552689999999757,True
LOG00006,D 1.10,281.711689,5.15521209363267,0.03650300000003881,True
LOG00007,D 1.10,7.384952,8.083117586759094,0.32466300000000015,True
LOG00007,D 1.10,10.841768,8.174561018452545,0.43221800000000066,True
LOG00007,D 1.10,29.629342,8.014160344513597,0.5298039999999986,True
LOG00007,D 1.10,36.196119,7.414695900647821,0.10655299999999812,True
LOG00007,D 1.10,45.177918,15.245881608820238,0.25946900000000284,True
LOG00007,D 1.10,124.249379,11.752175044608315,0.16869400000000212,True
LOG00007,D 1.10,126.714694,9.281146371582862,0.630391000000003,True
LOG00007,D 1.10,154.769117,11.315926840875207,0.5130049999999926,True
LOG00007,D 1.10,183.378089,5.284896860460882,0.5376640000000066,True
LOG00007,D 1.10,217.090523,15.76876146816625,0.5800930000000051,True
LOG00007,D 1.10,283.562637,10.33436958967496,0.14995399999997971,True
LOG00007,D 1.10,286.285531,8.791147144815563,0.14501999999998816,True
LOG00007,D 1.10,288.823924,7.9336215834276365,0.6481630000000109,True
LOG00007,D 1.10,308.792428,6.049153951201467,0.7093200000000479,True
LOG00007,D 1.10,335.714479,6.369478877609792,0.4686110000000099,True
LOG00007,D 1.10,342.995225,10.772186658796347,0.21704299999998966,True
LOG00007,D 1.10,345.571122,7.19939251175299,0.20421800000002577,True
LOG00007,D 1.10,366.234506,10.79749195897961,0.4084320000000048,True
