file,group,start,end,th_mean,th_std,speed,voltage,sp_max,acc_max,current,rpm_mean,rpm_min,motor_top_pct,motor_bottom_pct,shake_err_roll,shake_err_pitch,shake_err_yaw,shake_gyro_roll,shake_gyro_pitch,shake_gyro_yaw,shake_sp_roll,shake_sp_pitch,shake_sp_yaw,high_gyro_roll,high_gyro_pitch,high_gyro_yaw,high_raw_roll,high_raw_pitch,high_raw_yaw,high_D_roll,high_D_pitch,D_roll,D_pitch,shake_combined,shake_peak,shake_peak_t,shake_time_gt8,trigger,pre_th_min,pre_speed,pre_sp_max,pre_acc_max,pre_rpm_min,eligible
LOG00001,Default,6.205114,7.205114,24.439486673247778,9.005244744331005,17.259974012016507,24.85265547877591,87.0,2.891842930906359,5.093247778874629,12963.5700183331,8600.0,0.0,0.0,0.8030022542640323,1.4065007232231665,0.5869945684581016,0.8428459810611914,1.6783177621038488,0.586994600382324,0.34038499774765874,1.008759897392772,5.547331143185697e-07,0.3084849938708069,0.4481383335753282,0.29998011468701613,4.6712997542511125,7.734758068250624,7.205604135145072,1.1858840552144245,2.0692778530653633,2.165875523162892,6.304857964977402,1.145219827103166,2.3696197116952424,6.6594,0.0,6.155114,0.0,1.316803916351107,55.0,1.5996917964209159,3385.714285714286,True
LOG00001,Default,10.887563,11.887563,19.665976331360945,2.5516665442972655,22.854394088525897,24.728057199211044,49.0,1.4440784856806732,3.568037475345168,11356.589884474499,7714.285714285715,0.0,0.0,2.247243829566307,0.6832469802779617,0.6586807132485297,2.2726940750387508,0.6462473730212577,0.6673692585834528,1.1597750357586614,0.30018793921697773,0.4523228866135375,0.2617481173403085,0.3779097203425412,0.2643469761117716,6.824768261328362,8.629980434506693,5.791925942260658,0.8758407438958872,1.7811409160287917,4.697139168771634,2.8216198293778807,1.660862918121601,4.343286964167287,11.604296,0.0,10.837563,5.6,11.862014526448505,109.0,1.3573777884589855,3642.8571428571427,True
LOG00001,Default,14.871136,15.871136,29.765779092702168,4.804080954878098,19.354478274359717,24.540621301775147,73.0,2.9534603110185174,6.10516765285996,14599.376584953507,9971.42857142857,0.0,0.0,2.0422249591177084,1.889667865605204,0.8102123754979103,2.236574645868567,1.8917476648764149,0.8101973915748139,0.7257456871268676,0.243680599694607,0.0013989176668815998,0.45347425997069807,0.6457895389194661,0.3556130318731513,4.64873111354642,7.666194208561773,6.123891201615553,2.023540586467536,3.488812487376069,5.7197881369296315,5.906152977872112,1.967425656275766,4.318489128050623,15.02539,0.0,14.821136,0.0,16.65431958788009,1170.0,5.235645880072931,3000.0,True
LOG00001,Default,20.762708,21.762708,33.95739644970414,5.037703948390028,19.94739231871095,24.205207100591718,115.0,3.1637694423263523,7.8132741617357,15822.41124260355,11400.0,0.0,0.0,3.52409518392085,2.6144687701909786,0.8537748672039911,4.219724102646077,2.9350561038420735,0.853917670272776,2.2934816788977246,1.4721864030707272,0.0011254109181594344,0.684517151188097,0.7086693411674247,0.47156485058024444,4.81252508001094,5.638627618865322,8.0370084158048,3.408056199641265,4.004726904432658,12.270255563664236,10.344557116326385,3.102796626886625,6.033047270972508,21.059032,0.0,20.712708,0.0,22.676177964567874,116.0,1.4984343623187137,3157.1428571428573,True
LOG00001,Default,30.664671000000002,31.664671000000002,32.2896449704142,9.058567994699006,28.687864373727226,24.08454635108481,118.0,3.776014028864598,7.437889546351085,15160.052127359819,8814.285714285714,0.0,0.0,6.9125633858514535,5.725329261761995,1.3450962893752223,6.968400062006063,5.825443914525378,1.4946115635994341,0.9002797276773914,0.9765864022135845,0.5563327084791816,0.6820548403498582,0.8063565475475742,0.507660669284548,4.235926289646545,6.375785889657684,7.08196389896621,3.4064366580485297,4.6868880963326065,16.44781359306186,14.937212443486704,6.346767985321433,14.147020096245678,30.961956,0.28007889546351084,30.614671,0.0,46.84546761803356,1170.0,7.975658727962724,2385.714285714286,True
LOG00001,Default,34.080318,35.080318,33.17475345167652,4.014904884443359,44.32348501174044,24.13386587771203,81.0,3.0473740780282617,7.923323471400393,15480.142293603834,9785.714285714286,0.0,0.0,2.2095754309298483,1.918096072026645,0.9647018385304164,2.362144993540991,2.004737570531819,1.047548791641709,1.1133584725361547,0.9745631778638192,1.0060509414737762,0.42068745346685527,0.6843224778077487,0.37233072506833637,5.004217033628939,5.96882461072627,8.402085066476612,1.8147960808161017,3.6453089533815546,4.940474068717357,6.6809511659091125,2.068975123882942,4.938235980774651,34.092474,0.0,34.030318,5.7,36.62097408147851,89.0,7.9131376699550025,4414.285714285715,True
LOG00001,Default,48.155711,49.155711,40.05453648915188,11.313578362178333,28.339867276054154,23.773796844181458,107.0,4.760522355701773,10.737741617357,17265.634685826994,10614.285714285714,0.0,0.0,4.000519678692292,4.900905376693826,1.129041621487333,3.9591514472499023,4.861636153801433,1.137193440511625,0.29980427579402563,0.5047024051755267,0.24882305120035694,0.6336107491703246,0.6705341061118919,0.43005913931384054,4.4291936283319995,5.527326309096396,7.868771482423327,3.0014474005008775,3.596375322962403,9.724559688951691,11.79785358073349,4.473423253555978,9.484417187817828,48.484504,0.14990138067061143,48.105711,0.0,51.53283660944657,1170.0,7.637627589007581,2928.5714285714284,True
LOG00001,Default,50.168234,51.168234,32.94605522682446,5.808736467598371,26.357075567693062,23.85414201183432,124.0,3.1070417918601216,7.475039447731755,15193.44181459566,8057.142857142857,0.0,0.0,6.313274185068302,5.164785819309903,1.7584756559165855,6.474893321894608,4.87559508065141,1.8084508076186259,1.8580209352648909,1.2079352500237306,0.8241762288364651,0.5660170216691331,0.7552382271834991,0.4508192729993648,4.144402822356224,5.984734873693712,8.431958582822878,2.763390561066338,4.198331508723498,16.44109682151042,12.289810728068819,5.767687729723,12.941942067804911,50.414197,0.27120315581854043,50.118234,0.0,37.976664778010374,715.0,7.1202190655054105,2985.714285714286,True
LOG00001,Default,71.49038,72.49038,45.051380670611444,11.449950822313328,27.178911969800602,23.299950690335308,283.0,6.028488040668907,12.567426035502958,18453.367145674838,9000.0,0.0,0.0,3.2287565597950194,3.0655527371900626,1.123381514433707,4.301596516216882,3.838925518090682,1.2641728222067485,2.0588156099442636,2.4194978585926,0.6738872961174771,0.745547911623508,0.7689531970602805,0.49580657853908877,4.222032790538323,4.6701405183283375,7.881811491942941,3.5799513367691556,4.151948110369326,11.221413384382346,11.836784506597276,3.1482123901440366,6.063970227769241,71.490694,0.0,71.44038,3.1,41.16967042709912,527.0,8.091083720770646,3528.5714285714284,False
LOG00001,Default,79.742812,80.742812,36.33461538461539,10.488525476284389,21.763736401243722,23.233412228796844,196.0,3.7389041138581947,8.694368836291913,16080.945336714567,5600.0,0.0,1.0848126232741617,4.0897747671577065,2.0478040962227904,0.9831652618498383,4.445327164740674,2.1255282534041178,1.0394610494607406,2.4465272643309386,0.9210105110702113,0.7238898324519187,0.4757130352305896,0.7247698110334285,0.4161920212944002,3.357341042907439,5.203735128560679,6.195697064170631,2.1455353856989827,3.882178277034441,9.722936951280714,7.88946067507721,3.2341737169319407,13.182152189780446,80.736577,0.07889546351084813,79.692812,0.0,22.08822379775223,1170.0,3.4746393263556787,2714.285714285714,True
